Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Tambov Oblast, all devices
December 2017;0;0;
January 2018;0;0;
February 2018;0;0;
March 2018;2;0,0000060;
April 2018;0;0;
May 2018;0;0;
June 2018;2;0,0000065;
July 2018;0;0;
August 2018;1;0,0000028;
September 2018;0;0;
October 2018;6;0,0000161;
November 2018;5;0,0000132;
December 2018;6;0,0000146;
January 2019;9;0,0000230;
February 2019;12;0,0000290;
March 2019;0;0;
April 2019;0;0;
May 2019;8;0,0000252;
June 2019;0;0;
July 2019;0;0;
August 2019;0;0;
September 2019;3;0,0000074;
October 2019;0;0;
November 2019;0;0;
December 2019;0;0;
January 2020;0;0;
February 2020;0;0;
March 2020;1;0,0000016;
April 2020;0;0;
May 2020;8;0,0000194;
June 2020;2;0,0000051;
July 2020;1;0,0000025;
August 2020;5;0,0000115;
September 2020;0;0;
October 2020;2;0,0000037;
November 2020;1;0,0000019;
December 2020;2;0,0000039;
January 2021;0;0;
February 2021;0;0;
March 2021;2;0,0000036;
April 2021;2;0,0000036;
May 2021;3;0,0000059;
June 2021;4;0,0000084;
July 2021;1;0,0000020;
August 2021;2;0,0000036;
September 2021;4;0,0000064;
October 2021;0;0;
November 2021;0;0;
December 2021;0;0;
January 2022;1;0,0000015;
February 2022;5;0,0000072;
March 2022;6;0,0000094;
April 2022;1;0,0000015;
May 2022;0;0;
June 2022;2;0,0000035;
July 2022;2;0,0000036;
August 2022;19;0,0000302;
September 2022;1;0,0000014;
October 2022;0;0;
November 2022;3;0,0000042;
December 2022;0;0;
January 2023;0;0;
February 2023;3;0,0000043;
March 2023;0;0;
April 2023;1;0,0000016;
May 2023;5;0,0000089;
June 2023;0;0;
July 2023;0;0;
August 2023;1;0,0000017;
September 2023;0;0;
October 2023;3;0,0000046;
November 2023;0;0;
December 2023;0;0;
January 2024;0;0;
February 2024;4;0,0000063;
March 2024;2;0,0000034;
April 2024;0;0;
May 2024;0;0;
June 2024;0;0;
July 2024;0;0;
August 2024;0;0;
September 2024;0;0;
October 2024;0;0;
November 2024;0;0;
