Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Khabarovsk Krai, all devices
December 2017;17;0,0000300;
January 2018;28;0,0000497;
February 2018;93;0,0001500;
March 2018;258;0,0004637;
April 2018;315;0,0005732;
May 2018;61;0,0001157;
June 2018;32;0,0000641;
July 2018;33;0,0000637;
August 2018;18;0,0000311;
September 2018;18;0,0000269;
October 2018;29;0,0000474;
November 2018;25;0,0000427;
December 2018;31;0,0000582;
January 2019;109;0,0002195;
February 2019;120;0,0002308;
March 2019;94;0,0001896;
April 2019;29;0,0000621;
May 2019;64;0,0001525;
June 2019;3;0,0000077;
July 2019;5;0,0000130;
August 2019;0;0;
September 2019;1;0,0000019;
October 2019;1;0,0000019;
November 2019;2;0,0000036;
December 2019;0;0;
January 2020;3;0,0000056;
February 2020;7;0,0000121;
March 2020;1;0,0000013;
April 2020;0;0;
May 2020;3;0,0000054;
June 2020;2;0,0000040;
July 2020;0;0;
August 2020;2;0,0000037;
September 2020;4;0,0000064;
October 2020;0;0;
November 2020;13;0,0000203;
December 2020;7;0,0000111;
January 2021;1;0,0000016;
February 2021;0;0;
March 2021;2;0,0000031;
April 2021;0;0;
May 2021;0;0;
June 2021;2;0,0000035;
July 2021;3;0,0000054;
August 2021;0;0;
September 2021;3;0,0000047;
October 2021;2;0,0000030;
November 2021;0;0;
December 2021;1;0,0000014;
January 2022;8;0,0000119;
February 2022;4;0,0000054;
March 2022;4;0,0000055;
April 2022;2;0,0000028;
May 2022;2;0,0000031;
June 2022;2;0,0000032;
July 2022;1;0,0000016;
August 2022;6;0,0000087;
September 2022;2;0,0000026;
October 2022;1;0,0000012;
November 2022;3;0,0000039;
December 2022;2;0,0000026;
January 2023;0;0;
February 2023;1;0,0000012;
March 2023;1;0,0000013;
April 2023;0;0;
May 2023;8;0,0000126;
June 2023;4;0,0000066;
July 2023;10;0,0000167;
August 2023;6;0,0000092;
September 2023;5;0,0000069;
October 2023;8;0,0000111;
November 2023;26;0,0000354;
December 2023;0;0;
January 2024;3;0,0000043;
February 2024;0;0;
March 2024;1;0,0000014;
April 2024;1;0,0000015;
May 2024;0;0;
June 2024;7;0,0000124;
July 2024;2;0,0000036;
August 2024;2;0,0000033;
September 2024;3;0,0000043;
October 2024;1;0,0000014;
November 2024;7;0,0000094;
