Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Saint Petersburg, all devices
December 2017;286;0,0000615;
January 2018;344;0,0000716;
February 2018;297;0,0000581;
March 2018;284;0,0000607;
April 2018;190;0,0000417;
May 2018;174;0,0000401;
June 2018;470;0,0001109;
July 2018;226;0,0000521;
August 2018;281;0,0000571;
September 2018;309;0,0000542;
October 2018;327;0,0000631;
November 2018;296;0,0000574;
December 2018;284;0,0000552;
January 2019;299;0,0000594;
February 2019;361;0,0000673;
March 2019;299;0,0000593;
April 2019;311;0,0000636;
May 2019;298;0,0000683;
June 2019;257;0,0000583;
July 2019;147;0,0000336;
August 2019;101;0,0000209;
September 2019;227;0,0000413;
October 2019;253;0,0000465;
November 2019;228;0,0000412;
December 2019;633;0,0001134;
January 2020;219;0,0000396;
February 2020;159;0,0000277;
March 2020;134;0,0000210;
April 2020;299;0,0000511;
May 2020;333;0,0000649;
June 2020;388;0,0000772;
July 2020;345;0,0000682;
August 2020;384;0,0000673;
September 2020;417;0,0000657;
October 2020;401;0,0000599;
November 2020;422;0,0000651;
December 2020;416;0,0000669;
January 2021;172;0,0000290;
February 2021;283;0,0000421;
March 2021;289;0,0000444;
April 2021;253;0,0000443;
May 2021;373;0,0000666;
June 2021;283;0,0000484;
July 2021;381;0,0000606;
August 2021;292;0,0000473;
September 2021;222;0,0000363;
October 2021;235;0,0000371;
November 2021;536;0,0000826;
December 2021;475;0,0000709;
January 2022;531;0,0000776;
February 2022;415;0,0000572;
March 2022;284;0,0000424;
April 2022;237;0,0000337;
May 2022;291;0,0000461;
June 2022;188;0,0000327;
July 2022;152;0,0000257;
August 2022;93;0,0000153;
September 2022;155;0,0000239;
October 2022;348;0,0000508;
November 2022;117;0,0000182;
December 2022;114;0,0000188;
January 2023;119;0,0000208;
February 2023;111;0,0000173;
March 2023;194;0,0000324;
April 2023;150;0,0000256;
May 2023;73;0,0000139;
June 2023;90;0,0000180;
July 2023;78;0,0000156;
August 2023;83;0,0000150;
September 2023;52;0,0000086;
October 2023;73;0,0000121;
November 2023;46;0,0000076;
December 2023;155;0,0000258;
January 2024;74;0,0000129;
February 2024;138;0,0000232;
March 2024;194;0,0000338;
April 2024;73;0,0000134;
May 2024;75;0,0000156;
June 2024;53;0,0000111;
July 2024;77;0,0000165;
August 2024;65;0,0000127;
September 2024;113;0,0000194;
October 2024;118;0,0000194;
November 2024;100;0,0000161;
