Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Saratov Oblast, all devices
December 2017;10;0,00000996;
January 2018;3;0,00000302;
February 2018;6;0,00000563;
March 2018;2;0,00000209;
April 2018;2;0,00000214;
May 2018;1;0,00000112;
June 2018;3;0,00000335;
July 2018;5;0,00000563;
August 2018;4;0,00000385;
September 2018;10;0,00000849;
October 2018;5;0,00000459;
November 2018;2;0,00000182;
December 2018;11;0,00000974;
January 2019;46;0,00004124;
February 2019;11;0,00000951;
March 2019;5;0,00000474;
April 2019;1;0,00000100;
May 2019;0;0;
June 2019;1;0,00000109;
July 2019;8;0,00000868;
August 2019;40;0,00003907;
September 2019;6;0,00000512;
October 2019;13;0,00001118;
November 2019;9;0,00000770;
December 2019;10;0,00000832;
January 2020;5;0,00000417;
February 2020;2;0,00000156;
March 2020;0;0;
April 2020;6;0,00000423;
May 2020;2;0,00000175;
June 2020;10;0,00000969;
July 2020;0;0;
August 2020;0;0;
September 2020;1;0,00000072;
October 2020;3;0,00000193;
November 2020;0;0;
December 2020;4;0,00000271;
January 2021;9;0,00000628;
February 2021;18;0,00001146;
March 2021;2;0,00000134;
April 2021;5;0,00000363;
May 2021;4;0,00000292;
June 2021;2;0,00000153;
July 2021;4;0,00000300;
August 2021;1;0,00000069;
September 2021;0;0;
October 2021;2;0,00000124;
November 2021;13;0,00000806;
December 2021;14;0,00000872;
January 2022;4;0,00000255;
February 2022;1;0,00000057;
March 2022;0;0;
April 2022;1;0,00000063;
May 2022;6;0,00000429;
June 2022;2;0,00000144;
July 2022;3;0,00000220;
August 2022;1;0,00000064;
September 2022;5;0,00000299;
October 2022;5;0,00000296;
November 2022;0;0;
December 2022;4;0,00000235;
January 2023;1;0,00000064;
February 2023;7;0,00000419;
March 2023;2;0,00000130;
April 2023;9;0,00000586;
May 2023;0;0;
June 2023;2;0,00000146;
July 2023;0;0;
August 2023;0;0;
September 2023;3;0,00000184;
October 2023;27;0,00001664;
November 2023;7;0,00000432;
December 2023;11;0,00000674;
January 2024;0;0;
February 2024;2;0,00000128;
March 2024;1;0,00000070;
April 2024;2;0,00000142;
May 2024;3;0,00000241;
June 2024;4;0,00000328;
July 2024;0;0;
August 2024;0;0;
September 2024;3;0,00000198;
October 2024;0;0;
November 2024;6;0,00000372;
