Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Novosibirsk Oblast, all devices
December 2017;97;0,0000529;
January 2018;83;0,0000456;
February 2018;79;0,0000389;
March 2018;152;0,0000833;
April 2018;120;0,0000644;
May 2018;98;0,0000616;
June 2018;55;0,0000342;
July 2018;84;0,0000513;
August 2018;95;0,0000507;
September 2018;61;0,0000278;
October 2018;139;0,0000706;
November 2018;201;0,0000941;
December 2018;146;0,0000638;
January 2019;128;0,0000610;
February 2019;90;0,0000418;
March 2019;258;0,0001246;
April 2019;232;0,0001145;
May 2019;224;0,0001221;
June 2019;212;0,0001194;
July 2019;146;0,0000826;
August 2019;110;0,0000581;
September 2019;110;0,0000529;
October 2019;74;0,0000358;
November 2019;174;0,0000784;
December 2019;170;0,0000747;
January 2020;110;0,0000504;
February 2020;101;0,0000430;
March 2020;92;0,0000333;
April 2020;67;0,0000263;
May 2020;64;0,0000315;
June 2020;94;0,0000477;
July 2020;34;0,0000170;
August 2020;84;0,0000372;
September 2020;73;0,0000288;
October 2020;113;0,0000423;
November 2020;115;0,0000429;
December 2020;70;0,0000279;
January 2021;52;0,0000219;
February 2021;82;0,0000318;
March 2021;25;0,0000100;
April 2021;78;0,0000343;
May 2021;59;0,0000267;
June 2021;104;0,0000467;
July 2021;33;0,0000145;
August 2021;63;0,0000268;
September 2021;55;0,0000225;
October 2021;54;0,0000223;
November 2021;81;0,0000325;
December 2021;103;0,0000416;
January 2022;112;0,0000445;
February 2022;74;0,0000278;
March 2022;49;0,0000193;
April 2022;52;0,0000209;
May 2022;30;0,0000128;
June 2022;49;0,0000219;
July 2022;27;0,0000116;
August 2022;24;0,0000095;
September 2022;33;0,0000120;
October 2022;44;0,0000155;
November 2022;52;0,0000184;
December 2022;41;0,0000149;
January 2023;22;0,0000085;
February 2023;32;0,0000114;
March 2023;18;0,0000069;
April 2023;20;0,0000081;
May 2023;16;0,0000073;
June 2023;19;0,0000087;
July 2023;33;0,0000154;
August 2023;29;0,0000124;
September 2023;24;0,0000092;
October 2023;34;0,0000133;
November 2023;20;0,0000076;
December 2023;44;0,0000165;
January 2024;8;0,0000031;
February 2024;7;0,0000028;
March 2024;9;0,0000038;
April 2024;18;0,0000078;
May 2024;14;0,0000069;
June 2024;26;0,0000129;
July 2024;13;0,0000064;
August 2024;22;0,0000099;
September 2024;32;0,0000124;
October 2024;60;0,0000234;
November 2024;74;0,0000281;
