Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Rostov Oblast, all devices
December 2017;5;0,00000278;
January 2018;55;0,00002932;
February 2018;9;0,00000446;
March 2018;4;0,00000237;
April 2018;1;0,00000057;
May 2018;17;0,00001042;
June 2018;4;0,00000234;
July 2018;10;0,00000580;
August 2018;8;0,00000420;
September 2018;86;0,00003841;
October 2018;13;0,00000652;
November 2018;27;0,00001268;
December 2018;22;0,00000992;
January 2019;51;0,00002438;
February 2019;61;0,00002790;
March 2019;37;0,00001813;
April 2019;30;0,00001495;
May 2019;14;0,00000753;
June 2019;20;0,00001048;
July 2019;43;0,00002272;
August 2019;20;0,00001030;
September 2019;52;0,00002533;
October 2019;22;0,00001058;
November 2019;29;0,00001334;
December 2019;21;0,00000924;
January 2020;21;0,00000961;
February 2020;9;0,00000399;
March 2020;20;0,00000706;
April 2020;10;0,00000362;
May 2020;8;0,00000370;
June 2020;36;0,00001777;
July 2020;9;0,00000426;
August 2020;28;0,00001269;
September 2020;8;0,00000324;
October 2020;16;0,00000623;
November 2020;11;0,00000429;
December 2020;17;0,00000677;
January 2021;42;0,00001776;
February 2021;52;0,00001997;
March 2021;70;0,00002738;
April 2021;89;0,00003549;
May 2021;43;0,00001713;
June 2021;20;0,00000825;
July 2021;15;0,00000616;
August 2021;18;0,00000710;
September 2021;29;0,00001076;
October 2021;24;0,00000875;
November 2021;31;0,00001092;
December 2021;22;0,00000766;
January 2022;8;0,00000288;
February 2022;38;0,00001225;
March 2022;19;0,00000667;
April 2022;18;0,00000627;
May 2022;11;0,00000418;
June 2022;5;0,00000189;
July 2022;12;0,00000447;
August 2022;8;0,00000280;
September 2022;19;0,00000625;
October 2022;18;0,00000580;
November 2022;10;0,00000319;
December 2022;46;0,00001486;
January 2023;43;0,00001494;
February 2023;3;0,00000096;
March 2023;6;0,00000199;
April 2023;3;0,00000101;
May 2023;1;0,00000037;
June 2023;7;0,00000263;
July 2023;5;0,00000188;
August 2023;11;0,00000391;
September 2023;13;0,00000430;
October 2023;25;0,00000824;
November 2023;3;0,00000097;
December 2023;9;0,00000288;
January 2024;3;0,00000103;
February 2024;8;0,00000270;
March 2024;5;0,00000182;
April 2024;2;0,00000072;
May 2024;7;0,00000280;
June 2024;3;0,00000121;
July 2024;9;0,00000357;
August 2024;34;0,00001296;
September 2024;15;0,00000518;
October 2024;89;0,00002937;
November 2024;6;0,00000192;
