Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Belgorod Oblast, all devices
December 2017;0;0;
January 2018;0;0;
February 2018;1;0,00000136;
March 2018;5;0,00000800;
April 2018;0;0;
May 2018;1;0,00000170;
June 2018;0;0;
July 2018;0;0;
August 2018;2;0,00000297;
September 2018;4;0,00000515;
October 2018;1;0,00000140;
November 2018;2;0,00000278;
December 2018;4;0,00000549;
January 2019;0;0;
February 2019;1;0,00000136;
March 2019;0;0;
April 2019;0;0;
May 2019;0;0;
June 2019;0;0;
July 2019;1;0,00000169;
August 2019;0;0;
September 2019;0;0;
October 2019;2;0,00000273;
November 2019;0;0;
December 2019;1;0,00000127;
January 2020;0;0;
February 2020;0;0;
March 2020;0;0;
April 2020;2;0,00000194;
May 2020;0;0;
June 2020;0;0;
July 2020;1;0,00000146;
August 2020;1;0,00000132;
September 2020;0;0;
October 2020;0;0;
November 2020;0;0;
December 2020;2;0,00000228;
January 2021;0;0;
February 2021;1;0,00000101;
March 2021;0;0;
April 2021;2;0,00000204;
May 2021;2;0,00000214;
June 2021;2;0,00000231;
July 2021;5;0,00000567;
August 2021;0;0;
September 2021;3;0,00000286;
October 2021;1;0,00000089;
November 2021;7;0,00000619;
December 2021;15;0,00001342;
January 2022;2;0,00000184;
February 2022;7;0,00000582;
March 2022;13;0,00001163;
April 2022;6;0,00000535;
May 2022;4;0,00000404;
June 2022;3;0,00000311;
July 2022;2;0,00000207;
August 2022;7;0,00000647;
September 2022;0;0;
October 2022;16;0,00001221;
November 2022;2;0,00000151;
December 2022;0;0;
January 2023;5;0,00000423;
February 2023;1;0,00000078;
March 2023;1;0,00000082;
April 2023;2;0,00000170;
May 2023;1;0,00000103;
June 2023;5;0,00000527;
July 2023;1;0,00000106;
August 2023;0;0;
September 2023;0;0;
October 2023;9;0,00000790;
November 2023;3;0,00000258;
December 2023;8;0,00000690;
January 2024;2;0,00000175;
February 2024;0;0;
March 2024;4;0,00000385;
April 2024;0;0;
May 2024;1;0,00000116;
June 2024;4;0,00000482;
July 2024;0;0;
August 2024;2;0,00000215;
September 2024;7;0,00000666;
October 2024;1;0,00000090;
November 2024;0;0;
