Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Stavropol Krai, all devices
December 2017;4;0,00000451;
January 2018;3;0,00000345;
February 2018;1;0,00000106;
March 2018;2;0,00000247;
April 2018;0;0;
May 2018;3;0,00000384;
June 2018;2;0,00000244;
July 2018;12;0,00001464;
August 2018;14;0,00001560;
September 2018;0;0;
October 2018;0;0;
November 2018;4;0,00000405;
December 2018;2;0,00000193;
January 2019;13;0,00001344;
February 2019;23;0,00002246;
March 2019;0;0;
April 2019;0;0;
May 2019;9;0,00001045;
June 2019;1;0,00000113;
July 2019;6;0,00000694;
August 2019;2;0,00000218;
September 2019;3;0,00000300;
October 2019;1;0,00000096;
November 2019;0;0;
December 2019;2;0,00000174;
January 2020;2;0,00000183;
February 2020;2;0,00000167;
March 2020;6;0,00000397;
April 2020;2;0,00000140;
May 2020;8;0,00000708;
June 2020;0;0;
July 2020;5;0,00000475;
August 2020;0;0;
September 2020;3;0,00000230;
October 2020;4;0,00000290;
November 2020;2;0,00000143;
December 2020;0;0;
January 2021;5;0,00000415;
February 2021;1;0,00000075;
March 2021;5;0,00000387;
April 2021;0;0;
May 2021;1;0,00000081;
June 2021;4;0,00000332;
July 2021;15;0,00001221;
August 2021;0;0;
September 2021;0;0;
October 2021;7;0,00000494;
November 2021;4;0,00000282;
December 2021;2;0,00000137;
January 2022;7;0,00000504;
February 2022;1;0,00000064;
March 2022;0;0;
April 2022;1;0,00000068;
May 2022;5;0,00000371;
June 2022;5;0,00000373;
July 2022;2;0,00000147;
August 2022;3;0,00000206;
September 2022;6;0,00000385;
October 2022;0;0;
November 2022;2;0,00000125;
December 2022;0;0;
January 2023;0;0;
February 2023;2;0,00000127;
March 2023;0;0;
April 2023;0;0;
May 2023;5;0,00000370;
June 2023;3;0,00000226;
July 2023;1;0,00000076;
August 2023;1;0,00000073;
September 2023;1;0,00000067;
October 2023;1;0,00000067;
November 2023;1;0,00000066;
December 2023;2;0,00000131;
January 2024;0;0;
February 2024;5;0,00000346;
March 2024;1;0,00000074;
April 2024;4;0,00000298;
May 2024;1;0,00000083;
June 2024;2;0,00000164;
July 2024;0;0;
August 2024;2;0,00000155;
September 2024;3;0,00000213;
October 2024;1;0,00000068;
November 2024;5;0,00000329;
