Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Kaluga Oblast, all devices
December 2017;43;0,0000904;
January 2018;76;0,0001643;
February 2018;25;0,0000487;
March 2018;21;0,0000468;
April 2018;12;0,0000273;
May 2018;4;0,0000094;
June 2018;13;0,0000297;
July 2018;11;0,0000253;
August 2018;17;0,0000347;
September 2018;19;0,0000339;
October 2018;29;0,0000570;
November 2018;49;0,0000967;
December 2018;28;0,0000526;
January 2019;19;0,0000375;
February 2019;63;0,0001171;
March 2019;32;0,0000646;
April 2019;35;0,0000734;
May 2019;29;0,0000659;
June 2019;31;0,0000687;
July 2019;14;0,0000310;
August 2019;14;0,0000293;
September 2019;11;0,0000203;
October 2019;65;0,0001192;
November 2019;25;0,0000439;
December 2019;23;0,0000393;
January 2020;15;0,0000267;
February 2020;13;0,0000211;
March 2020;25;0,0000321;
April 2020;16;0,0000221;
May 2020;6;0,0000101;
June 2020;31;0,0000560;
July 2020;7;0,0000128;
August 2020;7;0,0000120;
September 2020;12;0,0000179;
October 2020;7;0,0000102;
November 2020;7;0,0000105;
December 2020;12;0,0000182;
January 2021;8;0,0000127;
February 2021;31;0,0000440;
March 2021;11;0,0000153;
April 2021;15;0,0000207;
May 2021;16;0,0000230;
June 2021;12;0,0000182;
July 2021;10;0,0000146;
August 2021;14;0,0000192;
September 2021;44;0,0000561;
October 2021;11;0,0000138;
November 2021;17;0,0000210;
December 2021;13;0,0000159;
January 2022;75;0,0000957;
February 2022;32;0,0000359;
March 2022;26;0,0000301;
April 2022;39;0,0000472;
May 2022;25;0,0000329;
June 2022;19;0,0000250;
July 2022;17;0,0000223;
August 2022;10;0,0000121;
September 2022;6;0,0000068;
October 2022;10;0,0000114;
November 2022;15;0,0000172;
December 2022;12;0,0000137;
January 2023;6;0,0000074;
February 2023;15;0,0000171;
March 2023;7;0,0000087;
April 2023;8;0,0000100;
May 2023;7;0,0000093;
June 2023;3;0,0000040;
July 2023;9;0,0000121;
August 2023;8;0,0000105;
September 2023;3;0,0000035;
October 2023;4;0,0000049;
November 2023;6;0,0000074;
December 2023;2;0,0000023;
January 2024;1;0,0000012;
February 2024;4;0,0000050;
March 2024;3;0,0000039;
April 2024;20;0,0000270;
May 2024;11;0,0000162;
June 2024;1;0,0000014;
July 2024;0;0;
August 2024;3;0,0000043;
September 2024;11;0,0000142;
October 2024;78;0,0000942;
November 2024;133;0,0001547;
