Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, The Kabardino-Balkar Republic, all devices
December 2017;0;0;
January 2018;0;0;
February 2018;0;0;
March 2018;0;0;
April 2018;0;0;
May 2018;0;0;
June 2018;0;0;
July 2018;0;0;
August 2018;5;0,0000320;
September 2018;0;0;
October 2018;0;0;
November 2018;1;0,0000056;
December 2018;3;0,0000163;
January 2019;21;0,0001196;
February 2019;0;0;
March 2019;1;0,0000057;
April 2019;0;0;
May 2019;0;0;
June 2019;0;0;
July 2019;0;0;
August 2019;3;0,0000189;
September 2019;2;0,0000112;
October 2019;0;0;
November 2019;0;0;
December 2019;3;0,0000143;
January 2020;0;0;
February 2020;1;0,0000045;
March 2020;4;0,0000129;
April 2020;3;0,0000124;
May 2020;0;0;
June 2020;2;0,0000105;
July 2020;2;0,0000107;
August 2020;0;0;
September 2020;0;0;
October 2020;2;0,0000075;
November 2020;3;0,0000118;
December 2020;1;0,0000043;
January 2021;3;0,0000139;
February 2021;2;0,0000086;
March 2021;0;0;
April 2021;1;0,0000041;
May 2021;0;0;
June 2021;0;0;
July 2021;2;0,0000093;
August 2021;0;0;
September 2021;1;0,0000037;
October 2021;1;0,0000035;
November 2021;3;0,0000102;
December 2021;1;0,0000033;
January 2022;1;0,0000035;
February 2022;2;0,0000062;
March 2022;1;0,0000033;
April 2022;16;0,0000533;
May 2022;0;0;
June 2022;7;0,0000266;
July 2022;0;0;
August 2022;0;0;
September 2022;0;0;
October 2022;3;0,0000094;
November 2022;0;0;
December 2022;0;0;
January 2023;1;0,0000033;
February 2023;0;0;
March 2023;0;0;
April 2023;3;0,0000100;
May 2023;0;0;
June 2023;0;0;
July 2023;4;0,0000155;
August 2023;5;0,0000182;
September 2023;9;0,0000296;
October 2023;0;0;
November 2023;6;0,0000188;
December 2023;6;0,0000187;
January 2024;1;0,0000033;
February 2024;0;0;
March 2024;4;0,0000146;
April 2024;3;0,0000107;
May 2024;1;0,0000041;
June 2024;8;0,0000327;
July 2024;0;0;
August 2024;1;0,0000039;
September 2024;5;0,0000176;
October 2024;2;0,0000067;
November 2024;6;0,0000189;
