Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Ivanovo Oblast, all devices
December 2017;20;0,0000517;
January 2018;16;0,0000424;
February 2018;10;0,0000237;
March 2018;6;0,0000157;
April 2018;10;0,0000272;
May 2018;2;0,0000057;
June 2018;2;0,0000057;
July 2018;3;0,0000083;
August 2018;1;0,0000025;
September 2018;13;0,0000280;
October 2018;4;0,0000095;
November 2018;11;0,0000264;
December 2018;9;0,0000208;
January 2019;11;0,0000269;
February 2019;10;0,0000227;
March 2019;3;0,0000073;
April 2019;7;0,0000183;
May 2019;17;0,0000478;
June 2019;25;0,0000682;
July 2019;13;0,0000364;
August 2019;10;0,0000262;
September 2019;6;0,0000135;
October 2019;4;0,0000089;
November 2019;0;0;
December 2019;4;0,0000085;
January 2020;11;0,0000244;
February 2020;5;0,0000099;
March 2020;8;0,0000129;
April 2020;5;0,0000090;
May 2020;6;0,0000132;
June 2020;15;0,0000354;
July 2020;23;0,0000548;
August 2020;13;0,0000278;
September 2020;2;0,0000037;
October 2020;3;0,0000053;
November 2020;5;0,0000090;
December 2020;6;0,0000116;
January 2021;0;0;
February 2021;2;0,0000035;
March 2021;3;0,0000051;
April 2021;5;0,0000086;
May 2021;8;0,0000146;
June 2021;1;0,0000020;
July 2021;13;0,0000251;
August 2021;32;0,0000554;
September 2021;12;0,0000189;
October 2021;2;0,0000029;
November 2021;20;0,0000298;
December 2021;22;0,0000331;
January 2022;9;0,0000139;
February 2022;22;0,0000307;
March 2022;23;0,0000339;
April 2022;5;0,0000074;
May 2022;7;0,0000118;
June 2022;9;0,0000156;
July 2022;9;0,0000154;
August 2022;7;0,0000107;
September 2022;2;0,0000028;
October 2022;5;0,0000071;
November 2022;6;0,0000086;
December 2022;2;0,0000028;
January 2023;2;0,0000031;
February 2023;5;0,0000071;
March 2023;2;0,0000030;
April 2023;5;0,0000077;
May 2023;1;0,0000017;
June 2023;4;0,0000068;
July 2023;1;0,0000017;
August 2023;1;0,0000016;
September 2023;1;0,0000014;
October 2023;1;0,0000015;
November 2023;0;0;
December 2023;2;0,0000029;
January 2024;2;0,0000031;
February 2024;2;0,0000030;
March 2024;2;0,0000032;
April 2024;0;0;
May 2024;0;0;
June 2024;3;0,0000056;
July 2024;3;0,0000057;
August 2024;4;0,0000071;
September 2024;3;0,0000047;
October 2024;0;0;
November 2024;0;0;
