Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Sakhalin District, all devices
December 2017;233;0,0017950;
January 2018;193;0,0014981;
February 2018;112;0,0008074;
March 2018;280;0,0021660;
April 2018;241;0,0018247;
May 2018;297;0,0024508;
June 2018;478;0,0039431;
July 2018;236;0,0019860;
August 2018;237;0,0017957;
September 2018;359;0,0023208;
October 2018;301;0,0020758;
November 2018;173;0,0012299;
December 2018;127;0,0008653;
January 2019;294;0,0020678;
February 2019;448;0,0029586;
March 2019;369;0,0025708;
April 2019;141;0,0010848;
May 2019;228;0,0018980;
June 2019;260;0,0022025;
July 2019;287;0,0024414;
August 2019;481;0,0037494;
September 2019;647;0,0042047;
October 2019;697;0,0044921;
November 2019;669;0,0040574;
December 2019;728;0,0042191;
January 2020;514;0,0030542;
February 2020;520;0,0027503;
March 2020;256;0,0011045;
April 2020;617;0,0028890;
May 2020;478;0,0026722;
June 2020;263;0,0016424;
July 2020;177;0,0011042;
August 2020;162;0,0009471;
September 2020;218;0,0010896;
October 2020;240;0,0011405;
November 2020;327;0,0016427;
December 2020;330;0,0016640;
January 2021;180;0,0009564;
February 2021;84;0,0004159;
March 2021;113;0,0005301;
April 2021;66;0,0003120;
May 2021;85;0,0004410;
June 2021;118;0,0006561;
July 2021;144;0,0007152;
August 2021;100;0,0004720;
September 2021;55;0,0002413;
October 2021;266;0,0011565;
November 2021;131;0,0005453;
December 2021;86;0,0003500;
January 2022;29;0,0001222;
February 2022;48;0,0001817;
March 2022;66;0,0002581;
April 2022;35;0,0001407;
May 2022;42;0,0001872;
June 2022;48;0,0002248;
July 2022;31;0,0001395;
August 2022;21;0,0000870;
September 2022;12;0,0000457;
October 2022;13;0,0000458;
November 2022;5;0,0000183;
December 2022;6;0,0000225;
January 2023;13;0,0000523;
February 2023;13;0,0000480;
March 2023;33;0,0001271;
April 2023;8;0,0000320;
May 2023;11;0,0000501;
June 2023;16;0,0000749;
July 2023;16;0,0000733;
August 2023;4;0,0000176;
September 2023;7;0,0000278;
October 2023;2;0,0000079;
November 2023;16;0,0000627;
December 2023;14;0,0000538;
January 2024;3;0,0000123;
February 2024;11;0,0000443;
March 2024;6;0,0000252;
April 2024;25;0,0001072;
May 2024;7;0,0000346;
June 2024;10;0,0000496;
July 2024;12;0,0000591;
August 2024;65;0,0003109;
September 2024;32;0,0001329;
October 2024;44;0,0001793;
November 2024;26;0,0001014;
