Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Kemerovo Oblast, all devices
December 2017;2;0,00000194;
January 2018;9;0,00000913;
February 2018;5;0,00000469;
March 2018;9;0,00000895;
April 2018;1;0,00000095;
May 2018;4;0,00000476;
June 2018;1;0,00000115;
July 2018;0;0;
August 2018;2;0,00000199;
September 2018;3;0,00000256;
October 2018;31;0,00002867;
November 2018;8;0,00000729;
December 2018;11;0,00000996;
January 2019;6;0,00000549;
February 2019;3;0,00000270;
March 2019;11;0,00001016;
April 2019;5;0,00000492;
May 2019;6;0,00000663;
June 2019;6;0,00000685;
July 2019;4;0,00000450;
August 2019;1;0,00000102;
September 2019;0;0;
October 2019;10;0,00000887;
November 2019;3;0,00000250;
December 2019;1;0,00000081;
January 2020;11;0,00000914;
February 2020;4;0,00000298;
March 2020;1;0,00000061;
April 2020;3;0,00000198;
May 2020;0;0;
June 2020;7;0,00000645;
July 2020;11;0,00001018;
August 2020;11;0,00000876;
September 2020;1;0,00000066;
October 2020;2;0,00000119;
November 2020;2;0,00000136;
December 2020;5;0,00000352;
January 2021;12;0,00000903;
February 2021;2;0,00000140;
March 2021;5;0,00000347;
April 2021;3;0,00000219;
May 2021;0;0;
June 2021;18;0,00001505;
July 2021;13;0,00001057;
August 2021;4;0,00000294;
September 2021;4;0,00000264;
October 2021;0;0;
November 2021;1;0,00000062;
December 2021;3;0,00000188;
January 2022;4;0,00000252;
February 2022;17;0,00001006;
March 2022;3;0,00000188;
April 2022;5;0,00000331;
May 2022;2;0,00000143;
June 2022;1;0,00000075;
July 2022;0;0;
August 2022;2;0,00000132;
September 2022;0;0;
October 2022;11;0,00000636;
November 2022;18;0,00001030;
December 2022;3;0,00000176;
January 2023;7;0,00000438;
February 2023;9;0,00000518;
March 2023;3;0,00000179;
April 2023;1;0,00000063;
May 2023;0;0;
June 2023;3;0,00000226;
July 2023;0;0;
August 2023;2;0,00000138;
September 2023;4;0,00000247;
October 2023;0;0;
November 2023;3;0,00000176;
December 2023;0;0;
January 2024;5;0,00000318;
February 2024;2;0,00000127;
March 2024;0;0;
April 2024;6;0,00000420;
May 2024;3;0,00000247;
June 2024;0;0;
July 2024;6;0,00000499;
August 2024;1;0,00000075;
September 2024;7;0,00000451;
October 2024;1;0,00000064;
November 2024;0;0;
