Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Altai Krai, all devices
December 2017;6;0,00000709;
January 2018;24;0,00002964;
February 2018;1;0,00000114;
March 2018;15;0,00001901;
April 2018;3;0,00000361;
May 2018;1;0,00000143;
June 2018;2;0,00000285;
July 2018;6;0,00000826;
August 2018;2;0,00000244;
September 2018;5;0,00000524;
October 2018;44;0,00004907;
November 2018;0;0;
December 2018;1;0,00000112;
January 2019;1;0,00000114;
February 2019;1;0,00000111;
March 2019;0;0;
April 2019;2;0,00000246;
May 2019;4;0,00000546;
June 2019;2;0,00000284;
July 2019;1;0,00000140;
August 2019;0;0;
September 2019;1;0,00000110;
October 2019;0;0;
November 2019;3;0,00000304;
December 2019;0;0;
January 2020;2;0,00000205;
February 2020;1;0,00000092;
March 2020;5;0,00000396;
April 2020;2;0,00000175;
May 2020;1;0,00000103;
June 2020;4;0,00000443;
July 2020;3;0,00000336;
August 2020;2;0,00000192;
September 2020;7;0,00000577;
October 2020;3;0,00000242;
November 2020;1;0,00000082;
December 2020;2;0,00000171;
January 2021;4;0,00000359;
February 2021;0;0;
March 2021;1;0,00000084;
April 2021;2;0,00000180;
May 2021;1;0,00000090;
June 2021;2;0,00000191;
July 2021;1;0,00000093;
August 2021;3;0,00000261;
September 2021;1;0,00000078;
October 2021;51;0,00003904;
November 2021;44;0,00003254;
December 2021;15;0,00001121;
January 2022;3;0,00000227;
February 2022;3;0,00000207;
March 2022;1;0,00000075;
April 2022;2;0,00000157;
May 2022;0;0;
June 2022;0;0;
July 2022;0;0;
August 2022;2;0,00000158;
September 2022;1;0,00000071;
October 2022;1;0,00000067;
November 2022;2;0,00000135;
December 2022;8;0,00000549;
January 2023;3;0,00000222;
February 2023;0;0;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;7;0,00000606;
August 2023;0;0;
September 2023;4;0,00000290;
October 2023;2;0,00000146;
November 2023;0;0;
December 2023;4;0,00000287;
January 2024;0;0;
February 2024;0;0;
March 2024;3;0,00000240;
April 2024;2;0,00000165;
May 2024;5;0,00000477;
June 2024;1;0,00000097;
July 2024;3;0,00000288;
August 2024;1;0,00000089;
September 2024;6;0,00000467;
October 2024;0;0;
November 2024;2;0,00000146;
