Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Saint-Petersburg and Leningrad Oblast, except Saint Petersburg, all devices
December 2017;2;0,0000037;
January 2018;88;0,0001650;
February 2018;12;0,0000200;
March 2018;13;0,0000238;
April 2018;11;0,0000207;
May 2018;9;0,0000162;
June 2018;16;0,0000288;
July 2018;23;0,0000391;
August 2018;20;0,0000325;
September 2018;9;0,0000129;
October 2018;8;0,0000123;
November 2018;26;0,0000397;
December 2018;25;0,0000353;
January 2019;23;0,0000334;
February 2019;40;0,0000526;
March 2019;34;0,0000488;
April 2019;31;0,0000430;
May 2019;34;0,0000492;
June 2019;51;0,0000708;
July 2019;23;0,0000325;
August 2019;14;0,0000199;
September 2019;16;0,0000204;
October 2019;32;0,0000409;
November 2019;10;0,0000122;
December 2019;5;0,0000057;
January 2020;15;0,0000186;
February 2020;32;0,0000353;
March 2020;20;0,0000167;
April 2020;8;0,0000070;
May 2020;12;0,0000121;
June 2020;9;0,0000095;
July 2020;30;0,0000344;
August 2020;3;0,0000035;
September 2020;11;0,0000114;
October 2020;14;0,0000138;
November 2020;4;0,0000041;
December 2020;10;0,0000104;
January 2021;4;0,0000045;
February 2021;9;0,0000092;
March 2021;14;0,0000130;
April 2021;23;0,0000176;
May 2021;38;0,0000302;
June 2021;27;0,0000257;
July 2021;14;0,0000129;
August 2021;26;0,0000208;
September 2021;11;0,0000080;
October 2021;31;0,0000217;
November 2021;35;0,0000248;
December 2021;18;0,0000121;
January 2022;32;0,0000218;
February 2022;25;0,0000160;
March 2022;24;0,0000162;
April 2022;19;0,0000124;
May 2022;19;0,0000130;
June 2022;22;0,0000143;
July 2022;21;0,0000139;
August 2022;7;0,0000045;
September 2022;20;0,0000124;
October 2022;22;0,0000138;
November 2022;13;0,0000084;
December 2022;23;0,0000145;
January 2023;14;0,0000096;
February 2023;6;0,0000038;
March 2023;10;0,0000067;
April 2023;10;0,0000067;
May 2023;4;0,0000027;
June 2023;11;0,0000072;
July 2023;5;0,0000033;
August 2023;13;0,0000089;
September 2023;13;0,0000084;
October 2023;7;0,0000047;
November 2023;6;0,0000040;
December 2023;6;0,0000038;
January 2024;6;0,0000041;
February 2024;7;0,0000047;
March 2024;9;0,0000062;
April 2024;19;0,0000132;
May 2024;5;0,0000036;
June 2024;11;0,0000075;
July 2024;30;0,0000210;
August 2024;5;0,0000036;
September 2024;3;0,0000020;
October 2024;7;0,0000045;
November 2024;6;0,0000037;
