Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Murmansk Oblast, all devices
December 2017;3;0,0000083;
January 2018;2;0,0000057;
February 2018;0;0;
March 2018;0;0;
April 2018;0;0;
May 2018;1;0,0000033;
June 2018;2;0,0000074;
July 2018;6;0,0000209;
August 2018;1;0,0000028;
September 2018;5;0,0000124;
October 2018;3;0,0000082;
November 2018;0;0;
December 2018;1;0,0000027;
January 2019;3;0,0000087;
February 2019;1;0,0000027;
March 2019;1;0,0000028;
April 2019;3;0,0000089;
May 2019;2;0,0000069;
June 2019;2;0,0000073;
July 2019;0;0;
August 2019;1;0,0000030;
September 2019;2;0,0000053;
October 2019;0;0;
November 2019;0;0;
December 2019;0;0;
January 2020;0;0;
February 2020;2;0,0000045;
March 2020;0;0;
April 2020;0;0;
May 2020;0;0;
June 2020;2;0,0000060;
July 2020;5;0,0000151;
August 2020;2;0,0000051;
September 2020;1;0,0000022;
October 2020;7;0,0000149;
November 2020;0;0;
December 2020;2;0,0000044;
January 2021;1;0,0000024;
February 2021;17;0,0000371;
March 2021;9;0,0000185;
April 2021;10;0,0000196;
May 2021;7;0,0000165;
June 2021;0;0;
July 2021;2;0,0000054;
August 2021;3;0,0000064;
September 2021;0;0;
October 2021;0;0;
November 2021;14;0,0000255;
December 2021;0;0;
January 2022;0;0;
February 2022;11;0,0000186;
March 2022;2;0,0000035;
April 2022;5;0,0000090;
May 2022;17;0,0000368;
June 2022;11;0,0000258;
July 2022;3;0,0000070;
August 2022;3;0,0000057;
September 2022;4;0,0000070;
October 2022;3;0,0000051;
November 2022;0;0;
December 2022;12;0,0000207;
January 2023;2;0,0000037;
February 2023;0;0;
March 2023;3;0,0000053;
April 2023;0;0;
May 2023;3;0,0000068;
June 2023;3;0,0000073;
July 2023;0;0;
August 2023;4;0,0000084;
September 2023;0;0;
October 2023;3;0,0000056;
November 2023;0;0;
December 2023;5;0,0000090;
January 2024;3;0,0000058;
February 2024;0;0;
March 2024;1;0,0000019;
April 2024;5;0,0000102;
May 2024;1;0,0000025;
June 2024;0;0;
July 2024;0;0;
August 2024;1;0,0000023;
September 2024;3;0,0000059;
October 2024;3;0,0000058;
November 2024;0;0;
