Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Zabaykalsky Krai, all devices
December 2017;8;0,0000252;
January 2018;18;0,0000580;
February 2018;1;0,0000030;
March 2018;2;0,0000066;
April 2018;2;0,0000066;
May 2018;0;0;
June 2018;2;0,0000074;
July 2018;4;0,0000147;
August 2018;1;0,0000031;
September 2018;0;0;
October 2018;12;0,0000344;
November 2018;5;0,0000147;
December 2018;4;0,0000113;
January 2019;8;0,0000230;
February 2019;4;0,0000110;
March 2019;3;0,0000085;
April 2019;0;0;
May 2019;0;0;
June 2019;3;0,0000106;
July 2019;0;0;
August 2019;0;0;
September 2019;3;0,0000074;
October 2019;0;0;
November 2019;1;0,0000023;
December 2019;1;0,0000023;
January 2020;3;0,0000068;
February 2020;5;0,0000104;
March 2020;1;0,0000016;
April 2020;0;0;
May 2020;0;0;
June 2020;2;0,0000054;
July 2020;3;0,0000081;
August 2020;12;0,0000275;
September 2020;6;0,0000110;
October 2020;2;0,0000032;
November 2020;1;0,0000017;
December 2020;6;0,0000119;
January 2021;2;0,0000040;
February 2021;0;0;
March 2021;1;0,0000019;
April 2021;1;0,0000020;
May 2021;1;0,0000023;
June 2021;0;0;
July 2021;2;0,0000050;
August 2021;1;0,0000021;
September 2021;2;0,0000038;
October 2021;11;0,0000185;
November 2021;1;0,0000017;
December 2021;3;0,0000054;
January 2022;2;0,0000036;
February 2022;10;0,0000171;
March 2022;1;0,0000017;
April 2022;8;0,0000150;
May 2022;0;0;
June 2022;2;0,0000045;
July 2022;0;0;
August 2022;3;0,0000057;
September 2022;5;0,0000085;
October 2022;1;0,0000016;
November 2022;0;0;
December 2022;14;0,0000226;
January 2023;21;0,0000370;
February 2023;0;0;
March 2023;0;0;
April 2023;0;0;
May 2023;3;0,0000062;
June 2023;1;0,0000022;
July 2023;0;0;
August 2023;2;0,0000038;
September 2023;2;0,0000034;
October 2023;15;0,0000260;
November 2023;4;0,0000066;
December 2023;0;0;
January 2024;3;0,0000053;
February 2024;0;0;
March 2024;0;0;
April 2024;2;0,0000041;
May 2024;0;0;
June 2024;1;0,0000025;
July 2024;0;0;
August 2024;0;0;
September 2024;0;0;
October 2024;0;0;
November 2024;2;0,0000034;
