Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Bryansk Oblast, all devices
December 2017;9;0,0000184;
January 2018;2;0,0000041;
February 2018;2;0,0000038;
March 2018;2;0,0000044;
April 2018;2;0,0000044;
May 2018;6;0,0000139;
June 2018;0;0;
July 2018;1;0,0000023;
August 2018;4;0,0000081;
September 2018;0;0;
October 2018;1;0,0000019;
November 2018;0;0;
December 2018;2;0,0000035;
January 2019;2;0,0000037;
February 2019;2;0,0000035;
March 2019;0;0;
April 2019;3;0,0000060;
May 2019;3;0,0000067;
June 2019;2;0,0000042;
July 2019;1;0,0000021;
August 2019;2;0,0000041;
September 2019;0;0;
October 2019;5;0,0000089;
November 2019;0;0;
December 2019;2;0,0000032;
January 2020;0;0;
February 2020;0;0;
March 2020;1;0,0000012;
April 2020;0;0;
May 2020;0;0;
June 2020;2;0,0000035;
July 2020;2;0,0000036;
August 2020;0;0;
September 2020;2;0,0000029;
October 2020;0;0;
November 2020;1;0,0000014;
December 2020;2;0,0000028;
January 2021;0;0;
February 2021;4;0,0000054;
March 2021;4;0,0000053;
April 2021;2;0,0000026;
May 2021;0;0;
June 2021;2;0,0000030;
July 2021;2;0,0000029;
August 2021;0;0;
September 2021;1;0,0000012;
October 2021;1;0,0000012;
November 2021;5;0,0000060;
December 2021;3;0,0000035;
January 2022;1;0,0000012;
February 2022;22;0,0000247;
March 2022;2;0,0000023;
April 2022;0;0;
May 2022;0;0;
June 2022;8;0,0000108;
July 2022;2;0,0000027;
August 2022;5;0,0000061;
September 2022;5;0,0000057;
October 2022;0;0;
November 2022;21;0,0000238;
December 2022;5;0,0000056;
January 2023;1;0,0000012;
February 2023;0;0;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;0;0;
August 2023;0;0;
September 2023;0;0;
October 2023;2;0,0000024;
November 2023;1;0,0000012;
December 2023;2;0,0000023;
January 2024;3;0,0000037;
February 2024;4;0,0000050;
March 2024;0;0;
April 2024;0;0;
May 2024;0;0;
June 2024;0;0;
July 2024;3;0,0000046;
August 2024;0;0;
September 2024;1;0,0000012;
October 2024;2;0,0000025;
November 2024;1;0,0000012;
