Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Perm Krai, all devices
December 2017;8;0,00000730;
January 2018;2;0,00000180;
February 2018;0;0;
March 2018;4;0,00000365;
April 2018;7;0,00000647;
May 2018;18;0,00001857;
June 2018;5;0,00000548;
July 2018;12;0,00001259;
August 2018;7;0,00000641;
September 2018;11;0,00000845;
October 2018;4;0,00000347;
November 2018;21;0,00001854;
December 2018;15;0,00001303;
January 2019;46;0,00003970;
February 2019;14;0,00001196;
March 2019;7;0,00000616;
April 2019;5;0,00000486;
May 2019;3;0,00000315;
June 2019;7;0,00000749;
July 2019;29;0,00002984;
August 2019;10;0,00000978;
September 2019;4;0,00000337;
October 2019;2;0,00000170;
November 2019;10;0,00000829;
December 2019;17;0,00001399;
January 2020;20;0,00001686;
February 2020;6;0,00000465;
March 2020;5;0,00000291;
April 2020;11;0,00000790;
May 2020;15;0,00001237;
June 2020;14;0,00001296;
July 2020;4;0,00000366;
August 2020;8;0,00000656;
September 2020;2;0,00000142;
October 2020;4;0,00000260;
November 2020;7;0,00000460;
December 2020;4;0,00000294;
January 2021;30;0,00002215;
February 2021;20;0,00001381;
March 2021;1;0,00000066;
April 2021;3;0,00000206;
May 2021;6;0,00000437;
June 2021;4;0,00000317;
July 2021;4;0,00000322;
August 2021;2;0,00000133;
September 2021;3;0,00000183;
October 2021;3;0,00000178;
November 2021;10;0,00000574;
December 2021;5;0,00000293;
January 2022;2;0,00000115;
February 2022;3;0,00000161;
March 2022;0;0;
April 2022;8;0,00000470;
May 2022;3;0,00000193;
June 2022;3;0,00000211;
July 2022;5;0,00000346;
August 2022;1;0,00000060;
September 2022;2;0,00000111;
October 2022;7;0,00000386;
November 2022;6;0,00000326;
December 2022;6;0,00000334;
January 2023;0;0;
February 2023;2;0,00000109;
March 2023;8;0,00000464;
April 2023;3;0,00000183;
May 2023;5;0,00000333;
June 2023;3;0,00000210;
July 2023;9;0,00000633;
August 2023;3;0,00000193;
September 2023;5;0,00000287;
October 2023;0;0;
November 2023;0;0;
December 2023;0;0;
January 2024;3;0,00000181;
February 2024;0;0;
March 2024;1;0,00000061;
April 2024;6;0,00000380;
May 2024;1;0,00000075;
June 2024;0;0;
July 2024;32;0,00002421;
August 2024;14;0,00000978;
September 2024;38;0,00002310;
October 2024;0;0;
November 2024;3;0,00000171;
