Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Amur Oblast, all devices
December 2017;1;0,0000051;
January 2018;2;0,0000103;
February 2018;4;0,0000196;
March 2018;3;0,0000160;
April 2018;7;0,0000378;
May 2018;0;0;
June 2018;1;0,0000056;
July 2018;11;0,0000630;
August 2018;1;0,0000050;
September 2018;2;0,0000085;
October 2018;10;0,0000448;
November 2018;2;0,0000091;
December 2018;0;0;
January 2019;7;0,0000325;
February 2019;1;0,0000044;
March 2019;1;0,0000046;
April 2019;0;0;
May 2019;4;0,0000238;
June 2019;0;0;
July 2019;0;0;
August 2019;0;0;
September 2019;0;0;
October 2019;1;0,0000041;
November 2019;14;0,0000538;
December 2019;0;0;
January 2020;2;0,0000076;
February 2020;11;0,0000378;
March 2020;1;0,0000028;
April 2020;3;0,0000088;
May 2020;5;0,0000187;
June 2020;3;0,0000125;
July 2020;0;0;
August 2020;2;0,0000070;
September 2020;7;0,0000205;
October 2020;0;0;
November 2020;3;0,0000086;
December 2020;2;0,0000059;
January 2021;4;0,0000126;
February 2021;4;0,0000120;
March 2021;6;0,0000179;
April 2021;8;0,0000247;
May 2021;3;0,0000101;
June 2021;2;0,0000068;
July 2021;2;0,0000070;
August 2021;5;0,0000158;
September 2021;5;0,0000144;
October 2021;11;0,0000308;
November 2021;3;0,0000080;
December 2021;0;0;
January 2022;1;0,0000028;
February 2022;7;0,0000180;
March 2022;3;0,0000080;
April 2022;5;0,0000137;
May 2022;6;0,0000185;
June 2022;6;0,0000193;
July 2022;3;0,0000096;
August 2022;1;0,0000028;
September 2022;2;0,0000051;
October 2022;4;0,0000096;
November 2022;3;0,0000074;
December 2022;3;0,0000073;
January 2023;3;0,0000080;
February 2023;2;0,0000049;
March 2023;1;0,0000025;
April 2023;0;0;
May 2023;3;0,0000092;
June 2023;7;0,0000223;
July 2023;2;0,0000063;
August 2023;0;0;
September 2023;29;0,0000771;
October 2023;16;0,0000425;
November 2023;1;0,0000026;
December 2023;2;0,0000052;
January 2024;2;0,0000055;
February 2024;3;0,0000081;
March 2024;1;0,0000028;
April 2024;2;0,0000060;
May 2024;1;0,0000034;
June 2024;0;0;
July 2024;0;0;
August 2024;1;0,0000033;
September 2024;1;0,0000028;
October 2024;5;0,0000138;
November 2024;4;0,0000104;
