Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Komi Republic, all devices
December 2017;3;0,0000080;
January 2018;3;0,0000080;
February 2018;0;0;
March 2018;2;0,0000052;
April 2018;4;0,0000106;
May 2018;3;0,0000092;
June 2018;4;0,0000133;
July 2018;9;0,0000290;
August 2018;2;0,0000053;
September 2018;3;0,0000067;
October 2018;23;0,0000576;
November 2018;14;0,0000354;
December 2018;0;0;
January 2019;4;0,0000101;
February 2019;7;0,0000171;
March 2019;6;0,0000150;
April 2019;2;0,0000053;
May 2019;0;0;
June 2019;2;0,0000065;
July 2019;0;0;
August 2019;0;0;
September 2019;0;0;
October 2019;1;0,0000025;
November 2019;0;0;
December 2019;0;0;
January 2020;3;0,0000074;
February 2020;0;0;
March 2020;0;0;
April 2020;0;0;
May 2020;1;0,0000025;
June 2020;1;0,0000029;
July 2020;1;0,0000029;
August 2020;4;0,0000102;
September 2020;3;0,0000065;
October 2020;1;0,0000020;
November 2020;2;0,0000042;
December 2020;3;0,0000065;
January 2021;2;0,0000044;
February 2021;5;0,0000108;
March 2021;3;0,0000061;
April 2021;2;0,0000040;
May 2021;1;0,0000022;
June 2021;2;0,0000053;
July 2021;7;0,0000182;
August 2021;6;0,0000127;
September 2021;2;0,0000037;
October 2021;4;0,0000073;
November 2021;1;0,0000018;
December 2021;7;0,0000125;
January 2022;3;0,0000055;
February 2022;7;0,0000119;
March 2022;2;0,0000035;
April 2022;5;0,0000091;
May 2022;1;0,0000021;
June 2022;4;0,0000093;
July 2022;0;0;
August 2022;4;0,0000079;
September 2022;3;0,0000053;
October 2022;0;0;
November 2022;0;0;
December 2022;0;0;
January 2023;15;0,0000283;
February 2023;12;0,0000206;
March 2023;0;0;
April 2023;0;0;
May 2023;0;0;
June 2023;0;0;
July 2023;5;0,0000121;
August 2023;1;0,0000021;
September 2023;0;0;
October 2023;0;0;
November 2023;5;0,0000093;
December 2023;1;0,0000018;
January 2024;1;0,0000019;
February 2024;0;0;
March 2024;1;0,0000019;
April 2024;0;0;
May 2024;3;0,0000075;
June 2024;0;0;
July 2024;0;0;
August 2024;0;0;
September 2024;0;0;
October 2024;7;0,0000138;
November 2024;0;0;
