Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Lipetsk Oblast, all devices
December 2017;3;0,0000058;
January 2018;0;0;
February 2018;1;0,0000017;
March 2018;1;0,0000020;
April 2018;1;0,0000021;
May 2018;4;0,0000089;
June 2018;4;0,0000087;
July 2018;1;0,0000022;
August 2018;2;0,0000038;
September 2018;4;0,0000067;
October 2018;0;0;
November 2018;3;0,0000056;
December 2018;2;0,0000035;
January 2019;1;0,0000018;
February 2019;5;0,0000088;
March 2019;0;0;
April 2019;7;0,0000143;
May 2019;3;0,0000067;
June 2019;6;0,0000128;
July 2019;0;0;
August 2019;2;0,0000041;
September 2019;3;0,0000054;
October 2019;1;0,0000018;
November 2019;8;0,0000136;
December 2019;4;0,0000066;
January 2020;2;0,0000034;
February 2020;1;0,0000015;
March 2020;0;0;
April 2020;10;0,0000135;
May 2020;0;0;
June 2020;3;0,0000055;
July 2020;3;0,0000055;
August 2020;5;0,0000085;
September 2020;3;0,0000044;
October 2020;0;0;
November 2020;2;0,0000029;
December 2020;3;0,0000044;
January 2021;7;0,0000106;
February 2021;9;0,0000123;
March 2021;6;0,0000083;
April 2021;8;0,0000113;
May 2021;9;0,0000133;
June 2021;1;0,0000015;
July 2021;2;0,0000030;
August 2021;12;0,0000169;
September 2021;4;0,0000052;
October 2021;0;0;
November 2021;15;0,0000183;
December 2021;4;0,0000048;
January 2022;3;0,0000036;
February 2022;5;0,0000055;
March 2022;8;0,0000097;
April 2022;6;0,0000074;
May 2022;15;0,0000207;
June 2022;3;0,0000041;
July 2022;1;0,0000013;
August 2022;1;0,0000012;
September 2022;10;0,0000116;
October 2022;1;0,0000011;
November 2022;1;0,0000011;
December 2022;0;0;
January 2023;2;0,0000024;
February 2023;1;0,0000011;
March 2023;1;0,0000012;
April 2023;1;0,0000012;
May 2023;2;0,0000027;
June 2023;0;0;
July 2023;1;0,0000013;
August 2023;1;0,0000013;
September 2023;0;0;
October 2023;0;0;
November 2023;1;0,0000011;
December 2023;0;0;
January 2024;3;0,0000037;
February 2024;17;0,0000208;
March 2024;3;0,0000039;
April 2024;17;0,0000232;
May 2024;1;0,0000015;
June 2024;2;0,0000030;
July 2024;7;0,0000105;
August 2024;1;0,0000014;
September 2024;5;0,0000065;
October 2024;14;0,0000176;
November 2024;0;0;
