Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «жумуш», by month, 31.12.2017 — 30.12.2024, Republic of Tatarstan, all devices
December 2017;2;0,00000130;
January 2018;1;0,00000067;
February 2018;30;0,00001863;
March 2018;40;0,00002659;
April 2018;6;0,00000421;
May 2018;6;0,00000464;
June 2018;13;0,00001050;
July 2018;4;0,00000319;
August 2018;7;0,00000448;
September 2018;20;0,00001113;
October 2018;40;0,00002429;
November 2018;15;0,00000930;
December 2018;39;0,00002350;
January 2019;13;0,00000832;
February 2019;11;0,00000652;
March 2019;3;0,00000184;
April 2019;14;0,00000931;
May 2019;13;0,00000950;
June 2019;10;0,00000738;
July 2019;27;0,00001911;
August 2019;24;0,00001524;
September 2019;10;0,00000545;
October 2019;28;0,00001525;
November 2019;31;0,00001630;
December 2019;22;0,00001119;
January 2020;9;0,00000499;
February 2020;4;0,00000207;
March 2020;7;0,00000266;
April 2020;15;0,00000701;
May 2020;9;0,00000509;
June 2020;52;0,00003172;
July 2020;6;0,00000328;
August 2020;14;0,00000650;
September 2020;14;0,00000555;
October 2020;11;0,00000446;
November 2020;29;0,00001217;
December 2020;11;0,00000466;
January 2021;9;0,00000405;
February 2021;25;0,00001080;
March 2021;2;0,00000087;
April 2021;4;0,00000195;
May 2021;7;0,00000347;
June 2021;14;0,00000705;
July 2021;15;0,00000724;
August 2021;12;0,00000534;
September 2021;7;0,00000285;
October 2021;2;0,00000080;
November 2021;12;0,00000470;
December 2021;9;0,00000360;
January 2022;9;0,00000368;
February 2022;10;0,00000366;
March 2022;11;0,00000417;
April 2022;3;0,00000118;
May 2022;8;0,00000367;
June 2022;5;0,00000240;
July 2022;18;0,00000842;
August 2022;5;0,00000202;
September 2022;5;0,00000187;
October 2022;6;0,00000223;
November 2022;8;0,00000296;
December 2022;14;0,00000521;
January 2023;6;0,00000242;
February 2023;12;0,00000441;
March 2023;7;0,00000281;
April 2023;6;0,00000243;
May 2023;9;0,00000417;
June 2023;7;0,00000331;
July 2023;5;0,00000235;
August 2023;13;0,00000542;
September 2023;21;0,00000784;
October 2023;2;0,00000076;
November 2023;9;0,00000335;
December 2023;2;0,00000076;
January 2024;16;0,00000653;
February 2024;9;0,00000352;
March 2024;3;0,00000126;
April 2024;1;0,00000042;
May 2024;16;0,00000819;
June 2024;3;0,00000153;
July 2024;11;0,00000562;
August 2024;2;0,00000092;
September 2024;4;0,00000161;
October 2024;2;0,00000077;
November 2024;12;0,00000447;
