Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;97;0,00074;
январь 2018;160;0,00124;
февраль 2018;108;0,00077;
март 2018;112;0,00086;
апрель 2018;154;0,00116;
май 2018;113;0,00093;
июнь 2018;190;0,00156;
июль 2018;191;0,00160;
август 2018;154;0,00116;
сентябрь 2018;118;0,00076;
октябрь 2018;138;0,00095;
ноябрь 2018;83;0,00059;
декабрь 2018;96;0,00065;
январь 2019;85;0,00059;
февраль 2019;107;0,00070;
март 2019;103;0,00071;
апрель 2019;109;0,00083;
май 2019;116;0,00096;
июнь 2019;150;0,00127;
июль 2019;129;0,00109;
август 2019;116;0,00090;
сентябрь 2019;101;0,00065;
октябрь 2019;97;0,00062;
ноябрь 2019;114;0,00069;
декабрь 2019;120;0,00069;
январь 2020;88;0,00052;
февраль 2020;80;0,00042;
март 2020;39;0,00016;
апрель 2020;51;0,00023;
май 2020;74;0,00041;
июнь 2020;43;0,00026;
июль 2020;140;0,00087;
август 2020;278;0,00162;
сентябрь 2020;165;0,00082;
октябрь 2020;91;0,00043;
ноябрь 2020;86;0,00043;
декабрь 2020;131;0,00066;
январь 2021;176;0,00093;
февраль 2021;158;0,00078;
март 2021;158;0,00074;
апрель 2021;160;0,00075;
май 2021;226;0,00117;
июнь 2021;218;0,00121;
июль 2021;216;0,00107;
август 2021;117;0,00055;
сентябрь 2021;105;0,00046;
октябрь 2021;143;0,00062;
ноябрь 2021;172;0,00071;
декабрь 2021;108;0,00043;
январь 2022;169;0,00071;
февраль 2022;415;0,00157;
март 2022;198;0,00077;
апрель 2022;171;0,00068;
май 2022;154;0,00068;
июнь 2022;301;0,00140;
июль 2022;208;0,00093;
август 2022;364;0,00150;
сентябрь 2022;182;0,00069;
октябрь 2022;115;0,00040;
ноябрь 2022;121;0,00044;
декабрь 2022;111;0,00041;
январь 2023;121;0,00048;
февраль 2023;143;0,00052;
март 2023;164;0,00063;
апрель 2023;124;0,00049;
май 2023;174;0,00079;
июнь 2023;108;0,00050;
июль 2023;118;0,00054;
август 2023;119;0,00052;
сентябрь 2023;153;0,00060;
октябрь 2023;155;0,00061;
ноябрь 2023;93;0,00036;
декабрь 2023;68;0,00026;
январь 2024;80;0,00032;
февраль 2024;150;0,00060;
март 2024;109;0,00045;
апрель 2024;126;0,00054;
май 2024;76;0,00037;
июнь 2024;108;0,00053;
июль 2024;118;0,00058;
август 2024;113;0,00054;
сентябрь 2024;191;0,00079;
октябрь 2024;101;0,00041;
ноябрь 2024;103;0,00040;
декабрь 2024;70;0,00027;
