Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ульяновская область, все устройства
декабрь 2017;60;0,0001258;
январь 2018;18;0,0000386;
февраль 2018;35;0,0000698;
март 2018;35;0,0000766;
апрель 2018;46;0,0001066;
май 2018;29;0,0000720;
июнь 2018;38;0,0000949;
июль 2018;37;0,0000910;
август 2018;16;0,0000341;
сентябрь 2018;11;0,0000206;
октябрь 2018;17;0,0000349;
ноябрь 2018;5;0,0000101;
декабрь 2018;24;0,0000473;
январь 2019;21;0,0000438;
февраль 2019;30;0,0000580;
март 2019;26;0,0000551;
апрель 2019;53;0,0001205;
май 2019;29;0,0000729;
июнь 2019;49;0,0001226;
июль 2019;25;0,0000616;
август 2019;20;0,0000456;
сентябрь 2019;18;0,0000350;
октябрь 2019;20;0,0000385;
ноябрь 2019;26;0,0000473;
декабрь 2019;11;0,0000191;
январь 2020;16;0,0000281;
февраль 2020;21;0,0000347;
март 2020;4;0,0000053;
апрель 2020;23;0,0000383;
май 2020;14;0,0000250;
июнь 2020;27;0,0000550;
июль 2020;7;0,0000138;
август 2020;40;0,0000678;
сентябрь 2020;41;0,0000612;
октябрь 2020;25;0,0000349;
ноябрь 2020;35;0,0000494;
декабрь 2020;44;0,0000655;
январь 2021;40;0,0000632;
февраль 2021;68;0,0000983;
март 2021;69;0,0001035;
апрель 2021;71;0,0001109;
май 2021;75;0,0001234;
июнь 2021;73;0,0001303;
июль 2021;45;0,0000769;
август 2021;36;0,0000536;
сентябрь 2021;83;0,0001144;
октябрь 2021;40;0,0000528;
ноябрь 2021;38;0,0000487;
декабрь 2021;55;0,0000717;
январь 2022;32;0,0000400;
февраль 2022;75;0,0000891;
март 2022;95;0,0001241;
апрель 2022;130;0,0001689;
май 2022;109;0,0001612;
июнь 2022;150;0,0002261;
июль 2022;106;0,0001629;
август 2022;200;0,0002695;
сентябрь 2022;118;0,0001485;
октябрь 2022;85;0,0001046;
ноябрь 2022;53;0,0000639;
декабрь 2022;76;0,0000924;
январь 2023;55;0,0000739;
февраль 2023;50;0,0000607;
март 2023;59;0,0000809;
апрель 2023;85;0,0001153;
май 2023;142;0,0002138;
июнь 2023;91;0,0001408;
июль 2023;50;0,0000781;
август 2023;65;0,0000935;
сентябрь 2023;89;0,0001139;
октябрь 2023;72;0,0000941;
ноябрь 2023;86;0,0001107;
декабрь 2023;66;0,0000841;
январь 2024;79;0,0001095;
февраль 2024;100;0,0001305;
март 2024;62;0,0000904;
апрель 2024;81;0,0001173;
май 2024;73;0,0001206;
июнь 2024;138;0,0002302;
июль 2024;73;0,0001200;
август 2024;78;0,0001230;
сентябрь 2024;82;0,0001117;
октябрь 2024;57;0,0000751;
ноябрь 2024;52;0,0000656;
декабрь 2024;78;0,0000980;
