Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;481;0,00065;
январь 2018;392;0,00053;
февраль 2018;606;0,00079;
март 2018;778;0,00110;
апрель 2018;750;0,00104;
май 2018;785;0,00134;
июнь 2018;828;0,00152;
июль 2018;560;0,00100;
август 2018;425;0,00061;
сентябрь 2018;454;0,00056;
октябрь 2018;364;0,00048;
ноябрь 2018;349;0,00046;
декабрь 2018;444;0,00057;
январь 2019;551;0,00069;
февраль 2019;565;0,00072;
март 2019;576;0,00075;
апрель 2019;689;0,00096;
май 2019;638;0,00108;
июнь 2019;652;0,00122;
июль 2019;431;0,00079;
август 2019;410;0,00061;
сентябрь 2019;422;0,00054;
октябрь 2019;429;0,00053;
ноябрь 2019;402;0,00048;
декабрь 2019;581;0,00067;
январь 2020;548;0,00064;
февраль 2020;417;0,00045;
март 2020;141;0,00011;
апрель 2020;353;0,00033;
май 2020;447;0,00053;
июнь 2020;257;0,00036;
июль 2020;429;0,00062;
август 2020;1 067;0,00124;
сентябрь 2020;788;0,00075;
октябрь 2020;548;0,00046;
ноябрь 2020;474;0,00043;
декабрь 2020;610;0,00059;
январь 2021;752;0,00078;
февраль 2021;1 044;0,00107;
март 2021;926;0,00092;
апрель 2021;1 291;0,00132;
май 2021;1 263;0,00144;
июнь 2021;1 021;0,00132;
июль 2021;886;0,00114;
август 2021;820;0,00086;
сентябрь 2021;586;0,00054;
октябрь 2021;558;0,00049;
ноябрь 2021;534;0,00045;
декабрь 2021;616;0,00053;
январь 2022;870;0,00074;
февраль 2022;1 539;0,00126;
март 2022;1 636;0,00141;
апрель 2022;1 779;0,00160;
май 2022;1 889;0,00193;
июнь 2022;1 508;0,00174;
июль 2022;1 149;0,00125;
август 2022;1 575;0,00146;
сентябрь 2022;1 212;0,00102;
октябрь 2022;754;0,00061;
ноябрь 2022;693;0,00054;
декабрь 2022;659;0,00053;
январь 2023;642;0,00056;
февраль 2023;812;0,00066;
март 2023;982;0,00082;
апрель 2023;1 074;0,00097;
май 2023;967;0,00102;
июнь 2023;985;0,00116;
июль 2023;675;0,00079;
август 2023;513;0,00050;
сентябрь 2023;577;0,00050;
октябрь 2023;564;0,00049;
ноябрь 2023;461;0,00037;
декабрь 2023;677;0,00057;
январь 2024;794;0,00070;
февраль 2024;751;0,00064;
март 2024;817;0,00072;
апрель 2024;857;0,00080;
май 2024;773;0,00093;
июнь 2024;783;0,00101;
июль 2024;509;0,00065;
август 2024;405;0,00044;
сентябрь 2024;465;0,00042;
октябрь 2024;322;0,00028;
ноябрь 2024;302;0,00025;
декабрь 2024;376;0,00033;
