Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;150;0,000207;
январь 2018;105;0,000148;
февраль 2018;179;0,000237;
март 2018;201;0,000287;
апрель 2018;209;0,000293;
май 2018;295;0,000467;
июнь 2018;257;0,000420;
июль 2018;165;0,000264;
август 2018;131;0,000174;
сентябрь 2018;144;0,000171;
октябрь 2018;182;0,000236;
ноябрь 2018;127;0,000165;
декабрь 2018;148;0,000191;
январь 2019;155;0,000194;
февраль 2019;178;0,000228;
март 2019;178;0,000233;
апрель 2019;134;0,000189;
май 2019;237;0,000365;
июнь 2019;213;0,000343;
июль 2019;177;0,000283;
август 2019;129;0,000178;
сентябрь 2019;125;0,000156;
октябрь 2019;131;0,000159;
ноябрь 2019;126;0,000148;
декабрь 2019;167;0,000191;
январь 2020;148;0,000169;
февраль 2020;221;0,000237;
март 2020;92;0,000081;
апрель 2020;78;0,000083;
май 2020;167;0,000197;
июнь 2020;141;0,000184;
июль 2020;272;0,000359;
август 2020;768;0,000883;
сентябрь 2020;444;0,000442;
октябрь 2020;370;0,000330;
ноябрь 2020;319;0,000296;
декабрь 2020;479;0,000475;
январь 2021;393;0,000411;
февраль 2021;428;0,000424;
март 2021;801;0,000784;
апрель 2021;1 077;0,001100;
май 2021;672;0,000700;
июнь 2021;568;0,000607;
июль 2021;601;0,000655;
август 2021;459;0,000449;
сентябрь 2021;570;0,000504;
октябрь 2021;451;0,000371;
ноябрь 2021;502;0,000422;
декабрь 2021;382;0,000329;
январь 2022;471;0,000382;
февраль 2022;990;0,000780;
март 2022;787;0,000657;
апрель 2022;823;0,000700;
май 2022;908;0,000849;
июнь 2022;1 167;0,001145;
июль 2022;812;0,000796;
август 2022;986;0,000843;
сентябрь 2022;502;0,000398;
октябрь 2022;470;0,000365;
ноябрь 2022;337;0,000250;
декабрь 2022;387;0,000303;
январь 2023;313;0,000263;
февраль 2023;502;0,000389;
март 2023;504;0,000408;
апрель 2023;505;0,000437;
май 2023;618;0,000581;
июнь 2023;662;0,000648;
июль 2023;396;0,000384;
август 2023;339;0,000297;
сентябрь 2023;477;0,000382;
октябрь 2023;449;0,000362;
ноябрь 2023;382;0,000295;
декабрь 2023;464;0,000373;
январь 2024;342;0,000282;
февраль 2024;422;0,000348;
март 2024;438;0,000373;
апрель 2024;514;0,000450;
май 2024;457;0,000471;
июнь 2024;375;0,000392;
июль 2024;295;0,000308;
август 2024;235;0,000222;
сентябрь 2024;194;0,000161;
октябрь 2024;196;0,000159;
ноябрь 2024;123;0,000096;
декабрь 2024;224;0,000182;
