Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Омская область, все устройства
декабрь 2017;85;0,000109;
январь 2018;101;0,000136;
февраль 2018;92;0,000116;
март 2018;130;0,000179;
апрель 2018;275;0,000366;
май 2018;244;0,000377;
июнь 2018;242;0,000387;
июль 2018;145;0,000214;
август 2018;86;0,000114;
сентябрь 2018;141;0,000161;
октябрь 2018;66;0,000082;
ноябрь 2018;63;0,000077;
декабрь 2018;144;0,000177;
январь 2019;145;0,000176;
февраль 2019;143;0,000171;
март 2019;117;0,000147;
апрель 2019;128;0,000171;
май 2019;195;0,000280;
июнь 2019;292;0,000457;
июль 2019;157;0,000231;
август 2019;101;0,000132;
сентябрь 2019;104;0,000118;
октябрь 2019;93;0,000103;
ноябрь 2019;87;0,000095;
декабрь 2019;122;0,000132;
январь 2020;126;0,000141;
февраль 2020;101;0,000104;
март 2020;19;0,000015;
апрель 2020;57;0,000053;
май 2020;136;0,000149;
июнь 2020;65;0,000079;
июль 2020;117;0,000144;
август 2020;276;0,000296;
сентябрь 2020;152;0,000140;
октябрь 2020;158;0,000141;
ноябрь 2020;184;0,000166;
декабрь 2020;228;0,000219;
январь 2021;207;0,000204;
февраль 2021;247;0,000225;
март 2021;346;0,000322;
апрель 2021;499;0,000496;
май 2021;868;0,000866;
июнь 2021;666;0,000693;
июль 2021;515;0,000543;
август 2021;391;0,000370;
сентябрь 2021;297;0,000261;
октябрь 2021;298;0,000255;
ноябрь 2021;229;0,000186;
декабрь 2021;330;0,000274;
январь 2022;315;0,000254;
февраль 2022;555;0,000427;
март 2022;551;0,000461;
апрель 2022;678;0,000584;
май 2022;713;0,000661;
июнь 2022;626;0,000619;
июль 2022;424;0,000422;
август 2022;369;0,000327;
сентябрь 2022;226;0,000182;
октябрь 2022;211;0,000165;
ноябрь 2022;201;0,000154;
декабрь 2022;218;0,000173;
январь 2023;216;0,000183;
февраль 2023;362;0,000279;
март 2023;395;0,000326;
апрель 2023;449;0,000392;
май 2023;583;0,000559;
июнь 2023;485;0,000491;
июль 2023;240;0,000234;
август 2023;176;0,000161;
сентябрь 2023;180;0,000149;
октябрь 2023;149;0,000124;
ноябрь 2023;172;0,000138;
декабрь 2023;245;0,000201;
январь 2024;193;0,000167;
февраль 2024;238;0,000196;
март 2024;239;0,000215;
апрель 2024;211;0,000195;
май 2024;260;0,000282;
июнь 2024;304;0,000339;
июль 2024;169;0,000188;
август 2024;148;0,000151;
сентябрь 2024;113;0,000100;
октябрь 2024;115;0,000099;
ноябрь 2024;61;0,000050;
декабрь 2024;127;0,000106;
