Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;16;0,000050;
январь 2018;15;0,000049;
февраль 2018;16;0,000049;
март 2018;9;0,000032;
апрель 2018;15;0,000052;
май 2018;17;0,000063;
июнь 2018;26;0,000097;
июль 2018;22;0,000084;
август 2018;8;0,000026;
сентябрь 2018;15;0,000043;
октябрь 2018;17;0,000053;
ноябрь 2018;11;0,000033;
декабрь 2018;13;0,000038;
январь 2019;20;0,000061;
февраль 2019;14;0,000041;
март 2019;21;0,000065;
апрель 2019;17;0,000056;
май 2019;20;0,000073;
июнь 2019;25;0,000092;
июль 2019;11;0,000041;
август 2019;8;0,000026;
сентябрь 2019;10;0,000029;
октябрь 2019;16;0,000046;
ноябрь 2019;16;0,000042;
декабрь 2019;22;0,000058;
январь 2020;10;0,000026;
февраль 2020;9;0,000023;
март 2020;6;0,000011;
апрель 2020;12;0,000025;
май 2020;9;0,000024;
июнь 2020;5;0,000015;
июль 2020;10;0,000030;
август 2020;30;0,000077;
сентябрь 2020;17;0,000038;
октябрь 2020;18;0,000039;
ноябрь 2020;31;0,000070;
декабрь 2020;39;0,000092;
январь 2021;26;0,000063;
февраль 2021;32;0,000073;
март 2021;80;0,000182;
апрель 2021;93;0,000213;
май 2021;102;0,000241;
июнь 2021;94;0,000248;
июль 2021;87;0,000228;
август 2021;108;0,000246;
сентябрь 2021;79;0,000164;
октябрь 2021;34;0,000069;
ноябрь 2021;24;0,000046;
декабрь 2021;56;0,000109;
январь 2022;99;0,000195;
февраль 2022;80;0,000150;
март 2022;52;0,000102;
апрель 2022;92;0,000179;
май 2022;84;0,000183;
июнь 2022;84;0,000191;
июль 2022;68;0,000155;
август 2022;125;0,000248;
сентябрь 2022;71;0,000131;
октябрь 2022;66;0,000120;
ноябрь 2022;27;0,000045;
декабрь 2022;31;0,000055;
январь 2023;20;0,000038;
февраль 2023;41;0,000076;
март 2023;36;0,000069;
апрель 2023;61;0,000116;
май 2023;62;0,000137;
июнь 2023;100;0,000228;
июль 2023;50;0,000115;
август 2023;39;0,000080;
сентябрь 2023;34;0,000064;
октябрь 2023;32;0,000060;
ноябрь 2023;36;0,000066;
декабрь 2023;90;0,000169;
январь 2024;31;0,000061;
февраль 2024;27;0,000053;
март 2024;24;0,000051;
апрель 2024;39;0,000084;
май 2024;47;0,000117;
июнь 2024;98;0,000249;
июль 2024;13;0,000033;
август 2024;23;0,000054;
сентябрь 2024;28;0,000058;
октябрь 2024;26;0,000052;
ноябрь 2024;21;0,000040;
декабрь 2024;50;0,000098;
