Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;99;0,000098;
январь 2018;49;0,000049;
февраль 2018;78;0,000073;
март 2018;70;0,000073;
апрель 2018;91;0,000097;
май 2018;172;0,000193;
июнь 2018;95;0,000106;
июль 2018;50;0,000056;
август 2018;50;0,000048;
сентябрь 2018;60;0,000050;
октябрь 2018;54;0,000049;
ноябрь 2018;38;0,000034;
декабрь 2018;56;0,000049;
январь 2019;38;0,000034;
февраль 2019;91;0,000078;
март 2019;47;0,000044;
апрель 2019;53;0,000053;
май 2019;65;0,000071;
июнь 2019;64;0,000070;
июль 2019;65;0,000070;
август 2019;45;0,000043;
сентябрь 2019;73;0,000062;
октябрь 2019;67;0,000057;
ноябрь 2019;51;0,000043;
декабрь 2019;83;0,000069;
январь 2020;66;0,000055;
февраль 2020;73;0,000057;
март 2020;20;0,000012;
апрель 2020;19;0,000013;
май 2020;48;0,000042;
июнь 2020;36;0,000034;
июль 2020;67;0,000063;
август 2020;123;0,000101;
сентябрь 2020;106;0,000076;
октябрь 2020;82;0,000052;
ноябрь 2020;65;0,000043;
декабрь 2020;146;0,000099;
январь 2021;144;0,000100;
февраль 2021;159;0,000101;
март 2021;140;0,000093;
апрель 2021;306;0,000222;
май 2021;158;0,000115;
июнь 2021;221;0,000169;
июль 2021;194;0,000145;
август 2021;158;0,000109;
сентябрь 2021;221;0,000139;
октябрь 2021;144;0,000089;
ноябрь 2021;112;0,000069;
декабрь 2021;151;0,000094;
январь 2022;124;0,000079;
февраль 2022;366;0,000210;
март 2022;278;0,000173;
апрель 2022;334;0,000211;
май 2022;290;0,000207;
июнь 2022;264;0,000190;
июль 2022;234;0,000171;
август 2022;412;0,000266;
сентябрь 2022;255;0,000152;
октябрь 2022;167;0,000098;
ноябрь 2022;128;0,000075;
декабрь 2022;183;0,000107;
январь 2023;133;0,000085;
февраль 2023;200;0,000119;
март 2023;181;0,000118;
апрель 2023;233;0,000151;
май 2023;167;0,000120;
июнь 2023;181;0,000133;
июль 2023;147;0,000110;
август 2023;173;0,000118;
сентябрь 2023;156;0,000095;
октябрь 2023;151;0,000093;
ноябрь 2023;127;0,000078;
декабрь 2023;195;0,000119;
январь 2024;189;0,000124;
февраль 2024;179;0,000115;
март 2024;128;0,000089;
апрель 2024;139;0,000099;
май 2024;134;0,000107;
июнь 2024;163;0,000133;
июль 2024;303;0,000246;
август 2024;162;0,000122;
сентябрь 2024;110;0,000072;
октябрь 2024;112;0,000071;
ноябрь 2024;107;0,000066;
декабрь 2024;128;0,000079;
