Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;753;0,000286;
январь 2018;681;0,000253;
февраль 2018;860;0,000297;
март 2018;969;0,000363;
апрель 2018;978;0,000384;
май 2018;1 213;0,000525;
июнь 2018;1 346;0,000599;
июль 2018;1 123;0,000487;
август 2018;814;0,000309;
сентябрь 2018;660;0,000198;
октябрь 2018;638;0,000210;
ноябрь 2018;698;0,000225;
декабрь 2018;741;0,000228;
январь 2019;667;0,000218;
февраль 2019;829;0,000256;
март 2019;913;0,000292;
апрель 2019;959;0,000320;
май 2019;1 142;0,000416;
июнь 2019;1 224;0,000456;
июль 2019;1 003;0,000372;
август 2019;801;0,000276;
сентябрь 2019;751;0,000236;
октябрь 2019;714;0,000223;
ноябрь 2019;718;0,000219;
декабрь 2019;953;0,000289;
январь 2020;770;0,000238;
февраль 2020;727;0,000209;
март 2020;311;0,000072;
апрель 2020;441;0,000122;
май 2020;703;0,000232;
июнь 2020;523;0,000184;
июль 2020;836;0,000281;
август 2020;1 813;0,000504;
сентябрь 2020;986;0,000246;
октябрь 2020;884;0,000201;
ноябрь 2020;948;0,000224;
декабрь 2020;1 062;0,000281;
январь 2021;980;0,000279;
февраль 2021;1 450;0,000396;
март 2021;1 544;0,000440;
апрель 2021;2 406;0,000768;
май 2021;1 887;0,000613;
июнь 2021;1 600;0,000501;
июль 2021;1 541;0,000479;
август 2021;1 386;0,000409;
сентябрь 2021;1 402;0,000388;
октябрь 2021;1 279;0,000335;
ноябрь 2021;1 027;0,000276;
декабрь 2021;1 068;0,000299;
январь 2022;1 057;0,000292;
февраль 2022;2 198;0,000574;
март 2022;1 818;0,000499;
апрель 2022;2 135;0,000588;
май 2022;2 188;0,000658;
июнь 2022;2 203;0,000703;
июль 2022;1 863;0,000571;
август 2022;2 941;0,000820;
сентябрь 2022;1 590;0,000412;
октябрь 2022;779;0,000198;
ноябрь 2022;679;0,000169;
декабрь 2022;833;0,000218;
январь 2023;783;0,000224;
февраль 2023;1 145;0,000298;
март 2023;1 001;0,000276;
апрель 2023;1 239;0,000357;
май 2023;1 353;0,000425;
июнь 2023;1 319;0,000430;
июль 2023;945;0,000303;
август 2023;759;0,000226;
сентябрь 2023;821;0,000218;
октябрь 2023;787;0,000213;
ноябрь 2023;857;0,000225;
декабрь 2023;826;0,000223;
январь 2024;850;0,000242;
февраль 2024;849;0,000233;
март 2024;838;0,000242;
апрель 2024;969;0,000284;
май 2024;1 059;0,000358;
июнь 2024;1 021;0,000352;
июль 2024;880;0,000303;
август 2024;588;0,000187;
сентябрь 2024;706;0,000192;
октябрь 2024;530;0,000143;
ноябрь 2024;580;0,000151;
декабрь 2024;579;0,000155;
