Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Новгородская область, все устройства
декабрь 2017;11;0,000047;
январь 2018;5;0,000021;
февраль 2018;24;0,000094;
март 2018;16;0,000068;
апрель 2018;16;0,000072;
май 2018;23;0,000107;
июнь 2018;15;0,000069;
июль 2018;196;0,000894;
август 2018;47;0,000192;
сентябрь 2018;20;0,000071;
октябрь 2018;24;0,000094;
ноябрь 2018;16;0,000064;
декабрь 2018;5;0,000019;
январь 2019;12;0,000047;
февраль 2019;18;0,000067;
март 2019;23;0,000094;
апрель 2019;31;0,000130;
май 2019;21;0,000098;
июнь 2019;31;0,000137;
июль 2019;46;0,000211;
август 2019;22;0,000094;
сентябрь 2019;32;0,000118;
октябрь 2019;39;0,000144;
ноябрь 2019;12;0,000042;
декабрь 2019;15;0,000052;
январь 2020;29;0,000102;
февраль 2020;16;0,000051;
март 2020;0;0;
апрель 2020;11;0,000033;
май 2020;18;0,000066;
июнь 2020;34;0,000126;
июль 2020;23;0,000088;
август 2020;51;0,000173;
сентябрь 2020;37;0,000107;
октябрь 2020;19;0,000054;
ноябрь 2020;26;0,000079;
декабрь 2020;32;0,000102;
январь 2021;12;0,000040;
февраль 2021;23;0,000071;
март 2021;37;0,000106;
апрель 2021;53;0,000146;
май 2021;53;0,000162;
июнь 2021;31;0,000107;
июль 2021;49;0,000164;
август 2021;46;0,000130;
сентябрь 2021;51;0,000132;
октябрь 2021;88;0,000221;
ноябрь 2021;26;0,000064;
декабрь 2021;17;0,000041;
январь 2022;42;0,000106;
февраль 2022;53;0,000123;
март 2022;41;0,000099;
апрель 2022;66;0,000165;
май 2022;66;0,000182;
июнь 2022;76;0,000206;
июль 2022;96;0,000263;
август 2022;140;0,000347;
сентябрь 2022;85;0,000200;
октябрь 2022;56;0,000130;
ноябрь 2022;38;0,000089;
декабрь 2022;57;0,000135;
январь 2023;24;0,000061;
февраль 2023;60;0,000140;
март 2023;24;0,000060;
апрель 2023;51;0,000129;
май 2023;47;0,000130;
июнь 2023;44;0,000121;
июль 2023;43;0,000118;
август 2023;41;0,000109;
сентябрь 2023;40;0,000095;
октябрь 2023;44;0,000106;
ноябрь 2023;28;0,000067;
декабрь 2023;51;0,000121;
январь 2024;42;0,000107;
февраль 2024;36;0,000090;
март 2024;35;0,000090;
апрель 2024;44;0,000119;
май 2024;27;0,000082;
июнь 2024;34;0,000100;
июль 2024;35;0,000106;
август 2024;27;0,000077;
сентябрь 2024;21;0,000054;
октябрь 2024;22;0,000053;
ноябрь 2024;20;0,000048;
декабрь 2024;21;0,000050;
