Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;43;0,000114;
январь 2018;22;0,000058;
февраль 2018;28;0,000068;
март 2018;27;0,000074;
апрель 2018;47;0,000131;
май 2018;59;0,000170;
июнь 2018;47;0,000135;
июль 2018;27;0,000078;
август 2018;31;0,000080;
сентябрь 2018;24;0,000054;
октябрь 2018;31;0,000077;
ноябрь 2018;23;0,000057;
декабрь 2018;26;0,000062;
январь 2019;31;0,000078;
февраль 2019;48;0,000114;
март 2019;24;0,000062;
апрель 2019;29;0,000077;
май 2019;44;0,000129;
июнь 2019;47;0,000134;
июль 2019;39;0,000113;
август 2019;17;0,000047;
сентябрь 2019;32;0,000078;
октябрь 2019;21;0,000051;
ноябрь 2019;16;0,000037;
декабрь 2019;44;0,000099;
январь 2020;35;0,000082;
февраль 2020;25;0,000054;
март 2020;17;0,000027;
апрель 2020;45;0,000082;
май 2020;25;0,000057;
июнь 2020;12;0,000028;
июль 2020;24;0,000060;
август 2020;32;0,000074;
сентябрь 2020;51;0,000102;
октябрь 2020;76;0,000146;
ноябрь 2020;24;0,000048;
декабрь 2020;37;0,000076;
январь 2021;45;0,000096;
февраль 2021;86;0,000163;
март 2021;67;0,000123;
апрель 2021;76;0,000136;
май 2021;100;0,000192;
июнь 2021;46;0,000097;
июль 2021;71;0,000146;
август 2021;56;0,000103;
сентябрь 2021;33;0,000055;
октябрь 2021;26;0,000042;
ноябрь 2021;41;0,000064;
декабрь 2021;41;0,000064;
январь 2022;51;0,000081;
февраль 2022;83;0,000122;
март 2022;93;0,000141;
апрель 2022;125;0,000198;
май 2022;115;0,000201;
июнь 2022;111;0,000196;
июль 2022;69;0,000123;
август 2022;199;0,000323;
сентябрь 2022;72;0,000109;
октябрь 2022;56;0,000085;
ноябрь 2022;50;0,000075;
декабрь 2022;73;0,000109;
январь 2023;59;0,000096;
февраль 2023;96;0,000143;
март 2023;131;0,000214;
апрель 2023;112;0,000185;
май 2023;86;0,000154;
июнь 2023;73;0,000132;
июль 2023;54;0,000099;
август 2023;56;0,000100;
сентябрь 2023;123;0,000195;
октябрь 2023;88;0,000142;
ноябрь 2023;63;0,000102;
декабрь 2023;61;0,000096;
январь 2024;46;0,000077;
февраль 2024;58;0,000096;
март 2024;49;0,000085;
апрель 2024;58;0,000105;
май 2024;60;0,000122;
июнь 2024;52;0,000105;
июль 2024;40;0,000082;
август 2024;35;0,000068;
сентябрь 2024;40;0,000068;
октябрь 2024;33;0,000055;
ноябрь 2024;31;0,000050;
декабрь 2024;31;0,000050;
