Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;16;0,0000295;
январь 2018;21;0,0000399;
февраль 2018;24;0,0000427;
март 2018;22;0,0000421;
апрель 2018;24;0,0000492;
май 2018;31;0,0000694;
июнь 2018;37;0,0000833;
июль 2018;40;0,0000878;
август 2018;22;0,0000411;
сентябрь 2018;13;0,0000213;
октябрь 2018;11;0,0000201;
ноябрь 2018;13;0,0000238;
декабрь 2018;33;0,0000587;
январь 2019;34;0,0000633;
февраль 2019;31;0,0000535;
март 2019;25;0,0000464;
апрель 2019;12;0,0000241;
май 2019;39;0,0000870;
июнь 2019;33;0,0000721;
июль 2019;23;0,0000501;
август 2019;26;0,0000526;
сентябрь 2019;26;0,0000456;
октябрь 2019;17;0,0000299;
ноябрь 2019;37;0,0000630;
декабрь 2019;36;0,0000601;
январь 2020;35;0,0000601;
февраль 2020;35;0,0000549;
март 2020;8;0,0000095;
апрель 2020;14;0,0000192;
май 2020;16;0,0000282;
июнь 2020;17;0,0000319;
июль 2020;38;0,0000721;
август 2020;96;0,0001609;
сентябрь 2020;45;0,0000675;
октябрь 2020;13;0,0000182;
ноябрь 2020;24;0,0000356;
декабрь 2020;27;0,0000412;
январь 2021;39;0,0000618;
февраль 2021;47;0,0000686;
март 2021;56;0,0000767;
апрель 2021;46;0,0000627;
май 2021;73;0,0001099;
июнь 2021;57;0,0000981;
июль 2021;38;0,0000623;
август 2021;29;0,0000394;
сентябрь 2021;24;0,0000296;
октябрь 2021;24;0,0000292;
ноябрь 2021;20;0,0000236;
декабрь 2021;21;0,0000248;
январь 2022;21;0,0000252;
февраль 2022;74;0,0000817;
март 2022;70;0,0000810;
апрель 2022;69;0,0000816;
май 2022;61;0,0000828;
июнь 2022;99;0,0001381;
июль 2022;58;0,0000805;
август 2022;193;0,0002345;
сентябрь 2022;86;0,0000978;
октябрь 2022;88;0,0000988;
ноябрь 2022;31;0,0000349;
декабрь 2022;57;0,0000646;
январь 2023;50;0,0000612;
февраль 2023;65;0,0000721;
март 2023;46;0,0000549;
апрель 2023;56;0,0000693;
май 2023;66;0,0000902;
июнь 2023;67;0,0000918;
июль 2023;40;0,0000566;
август 2023;53;0,0000688;
сентябрь 2023;69;0,0000795;
октябрь 2023;25;0,0000296;
ноябрь 2023;35;0,0000412;
декабрь 2023;62;0,0000716;
январь 2024;63;0,0000772;
февраль 2024;22;0,0000261;
март 2024;27;0,0000338;
апрель 2024;28;0,0000366;
май 2024;31;0,0000465;
июнь 2024;55;0,0000840;
июль 2024;37;0,0000562;
август 2024;16;0,0000226;
сентябрь 2024;30;0,0000373;
октябрь 2024;24;0,0000290;
ноябрь 2024;21;0,0000245;
декабрь 2024;35;0,0000412;
