Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;20;0,000053;
январь 2018;51;0,000136;
февраль 2018;36;0,000088;
март 2018;18;0,000047;
апрель 2018;33;0,000087;
май 2018;47;0,000145;
июнь 2018;32;0,000106;
июль 2018;23;0,000074;
август 2018;22;0,000058;
сентябрь 2018;27;0,000061;
октябрь 2018;16;0,000040;
ноябрь 2018;17;0,000043;
декабрь 2018;27;0,000065;
январь 2019;16;0,000040;
февраль 2019;23;0,000056;
март 2019;13;0,000032;
апрель 2019;16;0,000042;
май 2019;46;0,000142;
июнь 2019;17;0,000056;
июль 2019;35;0,000116;
август 2019;17;0,000050;
сентябрь 2019;25;0,000063;
октябрь 2019;19;0,000047;
ноябрь 2019;20;0,000049;
декабрь 2019;15;0,000036;
январь 2020;19;0,000047;
февраль 2020;27;0,000059;
март 2020;7;0,000012;
апрель 2020;10;0,000018;
май 2020;11;0,000027;
июнь 2020;7;0,000020;
июль 2020;20;0,000058;
август 2020;40;0,000102;
сентябрь 2020;16;0,000034;
октябрь 2020;21;0,000044;
ноябрь 2020;6;0,000012;
декабрь 2020;32;0,000069;
январь 2021;18;0,000040;
февраль 2021;74;0,000160;
март 2021;22;0,000045;
апрель 2021;34;0,000069;
май 2021;84;0,000192;
июнь 2021;36;0,000096;
июль 2021;16;0,000041;
август 2021;19;0,000040;
сентябрь 2021;26;0,000048;
октябрь 2021;9;0,000016;
ноябрь 2021;21;0,000037;
декабрь 2021;33;0,000059;
январь 2022;31;0,000056;
февраль 2022;91;0,000154;
март 2022;51;0,000090;
апрель 2022;72;0,000131;
май 2022;43;0,000092;
июнь 2022;36;0,000084;
июль 2022;42;0,000097;
август 2022;99;0,000195;
сентябрь 2022;29;0,000051;
октябрь 2022;31;0,000054;
ноябрь 2022;21;0,000036;
декабрь 2022;55;0,000096;
январь 2023;35;0,000066;
февраль 2023;53;0,000091;
март 2023;39;0,000070;
апрель 2023;60;0,000113;
май 2023;41;0,000090;
июнь 2023;47;0,000111;
июль 2023;43;0,000104;
август 2023;30;0,000064;
сентябрь 2023;36;0,000067;
октябрь 2023;6;0,000011;
ноябрь 2023;25;0,000046;
декабрь 2023;17;0,000031;
январь 2024;30;0,000058;
февраль 2024;32;0,000061;
март 2024;52;0,000102;
апрель 2024;24;0,000048;
май 2024;36;0,000090;
июнь 2024;19;0,000050;
июль 2024;35;0,000094;
август 2024;30;0,000071;
сентябрь 2024;22;0,000044;
октябрь 2024;24;0,000047;
ноябрь 2024;10;0,000019;
декабрь 2024;11;0,000021;
