Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Калмыкия, все устройства
декабрь 2017;7;0,0001081;
январь 2018;2;0,0000315;
февраль 2018;2;0,0000288;
март 2018;13;0,0002126;
апрель 2018;11;0,0001819;
май 2018;14;0,0002364;
июнь 2018;20;0,0003258;
июль 2018;24;0,0004190;
август 2018;23;0,0003826;
сентябрь 2018;4;0,0000563;
октябрь 2018;8;0,0001197;
ноябрь 2018;8;0,0001160;
декабрь 2018;4;0,0000557;
январь 2019;3;0,0000446;
февраль 2019;10;0,0001408;
март 2019;2;0,0000297;
апрель 2019;8;0,0001215;
май 2019;19;0,0003126;
июнь 2019;11;0,0001807;
июль 2019;5;0,0000834;
август 2019;1;0,0000161;
сентябрь 2019;11;0,0001614;
октябрь 2019;6;0,0000856;
ноябрь 2019;6;0,0000805;
декабрь 2019;12;0,0001525;
январь 2020;6;0,0000802;
февраль 2020;12;0,0001483;
март 2020;1;0,0000089;
апрель 2020;12;0,0001129;
май 2020;8;0,0000931;
июнь 2020;1;0,0000128;
июль 2020;9;0,0001177;
август 2020;12;0,0001433;
сентябрь 2020;13;0,0001338;
октябрь 2020;5;0,0000490;
ноябрь 2020;6;0,0000609;
декабрь 2020;7;0,0000721;
январь 2021;8;0,0000919;
февраль 2021;15;0,0001561;
март 2021;14;0,0001457;
апрель 2021;22;0,0002257;
май 2021;20;0,0002112;
июнь 2021;18;0,0002051;
июль 2021;25;0,0002830;
август 2021;10;0,0001037;
сентябрь 2021;10;0,0000951;
октябрь 2021;23;0,0002076;
ноябрь 2021;14;0,0001164;
декабрь 2021;10;0,0000821;
январь 2022;16;0,0001325;
февраль 2022;43;0,0003551;
март 2022;19;0,0001669;
апрель 2022;26;0,0002264;
май 2022;34;0,0003299;
июнь 2022;28;0,0002694;
июль 2022;22;0,0002139;
август 2022;31;0,0002834;
сентябрь 2022;39;0,0003290;
октябрь 2022;25;0,0002049;
ноябрь 2022;36;0,0002707;
декабрь 2022;19;0,0001558;
январь 2023;21;0,0001902;
февраль 2023;15;0,0001268;
март 2023;38;0,0003350;
апрель 2023;30;0,0002621;
май 2023;47;0,0004640;
июнь 2023;23;0,0002244;
июль 2023;18;0,0001768;
август 2023;24;0,0002297;
сентябрь 2023;37;0,0003218;
октябрь 2023;7;0,0000601;
ноябрь 2023;13;0,0001108;
декабрь 2023;30;0,0002504;
январь 2024;8;0,0000725;
февраль 2024;20;0,0001773;
март 2024;7;0,0000668;
апрель 2024;14;0,0001332;
май 2024;17;0,0001851;
июнь 2024;30;0,0003183;
июль 2024;25;0,0002729;
август 2024;33;0,0003425;
сентябрь 2024;17;0,0001599;
октябрь 2024;7;0,0000627;
ноябрь 2024;8;0,0000681;
декабрь 2024;4;0,0000334;
