Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Татарстан, все устройства
декабрь 2017;217;0,000141;
январь 2018;148;0,000099;
февраль 2018;283;0,000175;
март 2018;252;0,000167;
апрель 2018;328;0,000230;
май 2018;325;0,000251;
июнь 2018;453;0,000366;
июль 2018;335;0,000267;
август 2018;282;0,000180;
сентябрь 2018;254;0,000141;
октябрь 2018;144;0,000087;
ноябрь 2018;151;0,000093;
декабрь 2018;219;0,000132;
январь 2019;166;0,000106;
февраль 2019;233;0,000138;
март 2019;216;0,000132;
апрель 2019;359;0,000238;
май 2019;413;0,000302;
июнь 2019;380;0,000280;
июль 2019;348;0,000246;
август 2019;301;0,000191;
сентябрь 2019;329;0,000179;
октябрь 2019;211;0,000114;
ноябрь 2019;248;0,000130;
декабрь 2019;272;0,000138;
январь 2020;284;0,000157;
февраль 2020;273;0,000141;
март 2020;74;0,000028;
апрель 2020;145;0,000067;
май 2020;315;0,000178;
июнь 2020;161;0,000098;
июль 2020;254;0,000138;
август 2020;543;0,000252;
сентябрь 2020;354;0,000140;
октябрь 2020;249;0,000101;
ноябрь 2020;221;0,000092;
декабрь 2020;215;0,000091;
январь 2021;338;0,000152;
февраль 2021;538;0,000232;
март 2021;556;0,000243;
апрель 2021;662;0,000323;
май 2021;564;0,000280;
июнь 2021;474;0,000239;
июль 2021;466;0,000225;
август 2021;406;0,000180;
сентябрь 2021;549;0,000223;
октябрь 2021;450;0,000181;
ноябрь 2021;390;0,000152;
декабрь 2021;385;0,000154;
январь 2022;431;0,000176;
февраль 2022;791;0,000289;
март 2022;629;0,000238;
апрель 2022;820;0,000323;
май 2022;846;0,000388;
июнь 2022;656;0,000315;
июль 2022;666;0,000311;
август 2022;1 272;0,000515;
сентябрь 2022;579;0,000216;
октябрь 2022;525;0,000195;
ноябрь 2022;449;0,000166;
декабрь 2022;464;0,000172;
январь 2023;435;0,000175;
февраль 2023;631;0,000232;
март 2023;650;0,000261;
апрель 2023;751;0,000305;
май 2023;979;0,000454;
июнь 2023;976;0,000462;
июль 2023;772;0,000362;
август 2023;622;0,000259;
сентябрь 2023;573;0,000214;
октябрь 2023;532;0,000202;
ноябрь 2023;456;0,000170;
декабрь 2023;517;0,000197;
январь 2024;615;0,000251;
февраль 2024;525;0,000205;
март 2024;540;0,000227;
апрель 2024;583;0,000248;
май 2024;596;0,000305;
июнь 2024;663;0,000339;
июль 2024;722;0,000368;
август 2024;561;0,000260;
сентябрь 2024;512;0,000206;
октябрь 2024;475;0,000184;
ноябрь 2024;440;0,000164;
декабрь 2024;398;0,000147;
