Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;150;0,000096;
январь 2018;160;0,000105;
февраль 2018;341;0,000208;
март 2018;291;0,000194;
апрель 2018;383;0,000259;
май 2018;383;0,000285;
июнь 2018;320;0,000250;
июль 2018;280;0,000205;
август 2018;184;0,000119;
сентябрь 2018;159;0,000088;
октябрь 2018;136;0,000083;
ноябрь 2018;117;0,000071;
декабрь 2018;197;0,000119;
январь 2019;158;0,000096;
февраль 2019;188;0,000113;
март 2019;194;0,000121;
апрель 2019;260;0,000175;
май 2019;375;0,000279;
июнь 2019;189;0,000146;
июль 2019;174;0,000128;
август 2019;100;0,000065;
сентябрь 2019;163;0,000094;
октябрь 2019;143;0,000080;
ноябрь 2019;172;0,000093;
декабрь 2019;175;0,000094;
январь 2020;161;0,000089;
февраль 2020;152;0,000079;
март 2020;55;0,000022;
апрель 2020;93;0,000045;
май 2020;138;0,000079;
июнь 2020;93;0,000059;
июль 2020;129;0,000081;
август 2020;395;0,000217;
сентябрь 2020;380;0,000183;
октябрь 2020;200;0,000092;
ноябрь 2020;280;0,000125;
декабрь 2020;284;0,000127;
январь 2021;288;0,000128;
февраль 2021;542;0,000219;
март 2021;449;0,000196;
апрель 2021;626;0,000316;
май 2021;578;0,000299;
июнь 2021;436;0,000232;
июль 2021;503;0,000271;
август 2021;373;0,000180;
сентябрь 2021;364;0,000161;
октябрь 2021;424;0,000175;
ноябрь 2021;367;0,000153;
декабрь 2021;341;0,000143;
январь 2022;367;0,000155;
февраль 2022;590;0,000229;
март 2022;428;0,000177;
апрель 2022;656;0,000283;
май 2022;680;0,000326;
июнь 2022;651;0,000332;
июль 2022;571;0,000285;
август 2022;901;0,000400;
сентябрь 2022;427;0,000174;
октябрь 2022;289;0,000116;
ноябрь 2022;223;0,000087;
декабрь 2022;301;0,000120;
январь 2023;317;0,000135;
февраль 2023;361;0,000143;
март 2023;354;0,000151;
апрель 2023;423;0,000188;
май 2023;436;0,000210;
июнь 2023;458;0,000229;
июль 2023;313;0,000152;
август 2023;259;0,000113;
сентябрь 2023;250;0,000101;
октябрь 2023;240;0,000099;
ноябрь 2023;190;0,000075;
декабрь 2023;329;0,000131;
январь 2024;254;0,000107;
февраль 2024;188;0,000079;
март 2024;237;0,000107;
апрель 2024;259;0,000119;
май 2024;323;0,000173;
июнь 2024;330;0,000178;
июль 2024;281;0,000151;
август 2024;232;0,000118;
сентябрь 2024;211;0,000091;
октябрь 2024;151;0,000064;
ноябрь 2024;145;0,000060;
декабрь 2024;154;0,000065;
