Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;114;0,00067;
январь 2018;144;0,00084;
февраль 2018;106;0,00059;
март 2018;113;0,00067;
апрель 2018;141;0,00084;
май 2018;151;0,00105;
июнь 2018;168;0,00117;
июль 2018;158;0,00108;
август 2018;162;0,00097;
сентябрь 2018;106;0,00052;
октябрь 2018;99;0,00048;
ноябрь 2018;100;0,00049;
декабрь 2018;131;0,00062;
январь 2019;83;0,00039;
февраль 2019;94;0,00043;
март 2019;93;0,00044;
апрель 2019;113;0,00057;
май 2019;138;0,00084;
июнь 2019;160;0,00102;
июль 2019;141;0,00088;
август 2019;136;0,00074;
сентябрь 2019;123;0,00054;
октябрь 2019;86;0,00037;
ноябрь 2019;100;0,00040;
декабрь 2019;78;0,00029;
январь 2020;98;0,00037;
февраль 2020;129;0,00046;
март 2020;48;0,00012;
апрель 2020;78;0,00022;
май 2020;125;0,00050;
июнь 2020;67;0,00030;
июль 2020;97;0,00045;
август 2020;233;0,00084;
сентябрь 2020;217;0,00059;
октябрь 2020;162;0,00042;
ноябрь 2020;110;0,00031;
декабрь 2020;178;0,00053;
январь 2021;192;0,00063;
февраль 2021;274;0,00085;
март 2021;163;0,00049;
апрель 2021;260;0,00078;
май 2021;234;0,00085;
июнь 2021;168;0,00065;
июль 2021;247;0,00097;
август 2021;215;0,00071;
сентябрь 2021;175;0,00046;
октябрь 2021;181;0,00049;
ноябрь 2021;197;0,00049;
декабрь 2021;230;0,00060;
январь 2022;136;0,00034;
февраль 2022;407;0,00102;
март 2022;287;0,00075;
апрель 2022;248;0,00065;
май 2022;214;0,00069;
июнь 2022;276;0,00092;
июль 2022;304;0,00094;
август 2022;562;0,00160;
сентябрь 2022;368;0,00093;
октябрь 2022;256;0,00059;
ноябрь 2022;190;0,00042;
декабрь 2022;350;0,00077;
январь 2023;220;0,00054;
февраль 2023;355;0,00081;
март 2023;389;0,00092;
апрель 2023;442;0,00104;
май 2023;343;0,00093;
июнь 2023;355;0,00103;
июль 2023;291;0,00083;
август 2023;287;0,00076;
сентябрь 2023;296;0,00068;
октябрь 2023;166;0,00037;
ноябрь 2023;166;0,00035;
декабрь 2023;188;0,00042;
январь 2024;187;0,00045;
февраль 2024;247;0,00058;
март 2024;192;0,00047;
апрель 2024;163;0,00042;
май 2024;270;0,00082;
июнь 2024;370;0,00114;
июль 2024;221;0,00068;
август 2024;217;0,00061;
сентябрь 2024;285;0,00067;
октябрь 2024;175;0,00040;
ноябрь 2024;133;0,00029;
декабрь 2024;186;0,00043;
