Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;84;0,000053;
январь 2018;57;0,000037;
февраль 2018;122;0,000072;
март 2018;88;0,000057;
апрель 2018;131;0,000088;
май 2018;132;0,000098;
июнь 2018;177;0,000139;
июль 2018;112;0,000082;
август 2018;92;0,000060;
сентябрь 2018;103;0,000057;
октябрь 2018;149;0,000088;
ноябрь 2018;89;0,000053;
декабрь 2018;71;0,000042;
январь 2019;79;0,000047;
февраль 2019;80;0,000046;
март 2019;94;0,000057;
апрель 2019;98;0,000063;
май 2019;154;0,000111;
июнь 2019;147;0,000107;
июль 2019;115;0,000080;
август 2019;80;0,000051;
сентябрь 2019;89;0,000049;
октябрь 2019;131;0,000071;
ноябрь 2019;48;0,000025;
декабрь 2019;100;0,000052;
январь 2020;107;0,000058;
февраль 2020;88;0,000044;
март 2020;41;0,000015;
апрель 2020;53;0,000023;
май 2020;90;0,000050;
июнь 2020;67;0,000040;
июль 2020;103;0,000060;
август 2020;250;0,000125;
сентябрь 2020;191;0,000086;
октябрь 2020;101;0,000039;
ноябрь 2020;106;0,000045;
декабрь 2020;141;0,000064;
январь 2021;183;0,000085;
февраль 2021;258;0,000108;
март 2021;365;0,000160;
апрель 2021;256;0,000123;
май 2021;312;0,000154;
июнь 2021;337;0,000166;
июль 2021;272;0,000130;
август 2021;250;0,000110;
сентябрь 2021;240;0,000096;
октябрь 2021;230;0,000092;
ноябрь 2021;249;0,000096;
декабрь 2021;273;0,000109;
январь 2022;234;0,000092;
февраль 2022;485;0,000175;
март 2022;467;0,000181;
апрель 2022;477;0,000189;
май 2022;532;0,000236;
июнь 2022;540;0,000259;
июль 2022;473;0,000223;
август 2022;897;0,000366;
сентябрь 2022;442;0,000167;
октябрь 2022;351;0,000129;
ноябрь 2022;318;0,000114;
декабрь 2022;345;0,000127;
январь 2023;321;0,000128;
февраль 2023;455;0,000166;
март 2023;474;0,000190;
апрель 2023;471;0,000194;
май 2023;548;0,000250;
июнь 2023;605;0,000283;
июль 2023;451;0,000213;
август 2023;348;0,000148;
сентябрь 2023;390;0,000147;
октябрь 2023;339;0,000129;
ноябрь 2023;311;0,000116;
декабрь 2023;451;0,000172;
январь 2024;394;0,000161;
февраль 2024;304;0,000121;
март 2024;299;0,000130;
апрель 2024;454;0,000199;
май 2024;357;0,000183;
июнь 2024;355;0,000180;
июль 2024;262;0,000133;
август 2024;260;0,000124;
сентябрь 2024;217;0,000089;
октябрь 2024;260;0,000103;
ноябрь 2024;166;0,000063;
декабрь 2024;215;0,000084;
