Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Бурятия, все устройства
декабрь 2017;16;0,000063;
январь 2018;16;0,000065;
февраль 2018;34;0,000130;
март 2018;24;0,000100;
апрель 2018;18;0,000074;
май 2018;35;0,000161;
июнь 2018;29;0,000131;
июль 2018;32;0,000147;
август 2018;35;0,000140;
сентябрь 2018;9;0,000030;
октябрь 2018;63;0,000230;
ноябрь 2018;20;0,000073;
декабрь 2018;27;0,000098;
январь 2019;22;0,000082;
февраль 2019;36;0,000129;
март 2019;51;0,000190;
апрель 2019;28;0,000110;
май 2019;35;0,000155;
июнь 2019;39;0,000183;
июль 2019;25;0,000116;
август 2019;34;0,000145;
сентябрь 2019;16;0,000057;
октябрь 2019;26;0,000094;
ноябрь 2019;9;0,000029;
декабрь 2019;10;0,000032;
январь 2020;28;0,000093;
февраль 2020;26;0,000080;
март 2020;7;0,000015;
апрель 2020;12;0,000032;
май 2020;16;0,000053;
июнь 2020;15;0,000056;
июль 2020;10;0,000037;
август 2020;36;0,000115;
сентябрь 2020;33;0,000078;
октябрь 2020;16;0,000038;
ноябрь 2020;24;0,000061;
декабрь 2020;43;0,000119;
январь 2021;41;0,000125;
февраль 2021;25;0,000070;
март 2021;45;0,000118;
апрель 2021;68;0,000172;
май 2021;51;0,000139;
июнь 2021;75;0,000237;
июль 2021;93;0,000302;
август 2021;49;0,000131;
сентябрь 2021;62;0,000145;
октябрь 2021;87;0,000198;
ноябрь 2021;61;0,000127;
декабрь 2021;54;0,000116;
январь 2022;89;0,000188;
февраль 2022;135;0,000279;
март 2022;126;0,000270;
апрель 2022;154;0,000346;
май 2022;186;0,000471;
июнь 2022;239;0,000626;
июль 2022;178;0,000468;
август 2022;343;0,000777;
сентябрь 2022;226;0,000467;
октябрь 2022;177;0,000354;
ноябрь 2022;140;0,000274;
декабрь 2022;144;0,000287;
январь 2023;130;0,000286;
февраль 2023;144;0,000287;
март 2023;142;0,000294;
апрель 2023;104;0,000226;
май 2023;144;0,000368;
июнь 2023;158;0,000414;
июль 2023;120;0,000312;
август 2023;149;0,000348;
сентябрь 2023;124;0,000259;
октябрь 2023;166;0,000350;
ноябрь 2023;98;0,000195;
декабрь 2023;139;0,000286;
январь 2024;91;0,000198;
февраль 2024;175;0,000381;
март 2024;70;0,000157;
апрель 2024;89;0,000215;
май 2024;74;0,000207;
июнь 2024;90;0,000257;
июль 2024;54;0,000153;
август 2024;64;0,000164;
сентябрь 2024;67;0,000149;
октябрь 2024;67;0,000145;
ноябрь 2024;25;0,000051;
декабрь 2024;43;0,000091;
