Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Нижегородская область, все устройства
декабрь 2017;243;0,0001018;
январь 2018;153;0,0000641;
февраль 2018;162;0,0000674;
март 2018;175;0,0000829;
апрель 2018;156;0,0000794;
май 2018;160;0,0000894;
июнь 2018;144;0,0000820;
июль 2018;148;0,0000785;
август 2018;166;0,0000762;
сентябрь 2018;142;0,0000541;
октябрь 2018;108;0,0000482;
ноябрь 2018;134;0,0000582;
декабрь 2018;153;0,0000598;
январь 2019;117;0,0000486;
февраль 2019;165;0,0000644;
март 2019;141;0,0000589;
апрель 2019;128;0,0000559;
май 2019;221;0,0001083;
июнь 2019;156;0,0000758;
июль 2019;141;0,0000702;
август 2019;129;0,0000604;
сентябрь 2019;122;0,0000498;
октябрь 2019;120;0,0000474;
ноябрь 2019;178;0,0000659;
декабрь 2019;199;0,0000746;
январь 2020;141;0,0000550;
февраль 2020;116;0,0000431;
март 2020;30;0,0000088;
апрель 2020;112;0,0000389;
май 2020;143;0,0000579;
июнь 2020;105;0,0000404;
июль 2020;192;0,0000745;
август 2020;365;0,0001356;
сентябрь 2020;239;0,0000816;
октябрь 2020;209;0,0000640;
ноябрь 2020;169;0,0000533;
декабрь 2020;194;0,0000684;
январь 2021;210;0,0000784;
февраль 2021;371;0,0001257;
март 2021;391;0,0001348;
апрель 2021;314;0,0001135;
май 2021;515;0,0001929;
июнь 2021;384;0,0001412;
июль 2021;361;0,0001355;
август 2021;293;0,0001025;
сентябрь 2021;257;0,0000839;
октябрь 2021;183;0,0000596;
ноябрь 2021;238;0,0000764;
декабрь 2021;225;0,0000729;
январь 2022;191;0,0000624;
февраль 2022;470;0,0001423;
март 2022;391;0,0001236;
апрель 2022;440;0,0001354;
май 2022;423;0,0001471;
июнь 2022;434;0,0001529;
июль 2022;357;0,0001233;
август 2022;876;0,0002714;
сентябрь 2022;444;0,0001282;
октябрь 2022;211;0,0000609;
ноябрь 2022;166;0,0000483;
декабрь 2022;257;0,0000752;
январь 2023;246;0,0000779;
февраль 2023;302;0,0000876;
март 2023;255;0,0000809;
апрель 2023;314;0,0001016;
май 2023;296;0,0001084;
июнь 2023;371;0,0001350;
июль 2023;297;0,0001120;
август 2023;223;0,0000789;
сентябрь 2023;218;0,0000685;
октябрь 2023;225;0,0000732;
ноябрь 2023;174;0,0000562;
декабрь 2023;290;0,0000909;
январь 2024;214;0,0000723;
февраль 2024;214;0,0000718;
март 2024;250;0,0000893;
апрель 2024;295;0,0001090;
май 2024;220;0,0000951;
июнь 2024;268;0,0001158;
июль 2024;220;0,0000940;
август 2024;193;0,0000766;
сентябрь 2024;189;0,0000651;
октябрь 2024;187;0,0000630;
ноябрь 2024;119;0,0000390;
декабрь 2024;183;0,0000607;
