Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;113;0,000281;
январь 2018;140;0,000357;
февраль 2018;126;0,000301;
март 2018;144;0,000364;
апрель 2018;242;0,000582;
май 2018;232;0,000681;
июнь 2018;246;0,000743;
июль 2018;148;0,000432;
август 2018;104;0,000258;
сентябрь 2018;137;0,000292;
октябрь 2018;101;0,000235;
ноябрь 2018;83;0,000189;
декабрь 2018;144;0,000338;
январь 2019;116;0,000275;
февраль 2019;188;0,000432;
март 2019;165;0,000381;
апрель 2019;183;0,000450;
май 2019;247;0,000689;
июнь 2019;188;0,000582;
июль 2019;176;0,000543;
август 2019;120;0,000325;
сентябрь 2019;120;0,000281;
октябрь 2019;142;0,000327;
ноябрь 2019;135;0,000294;
декабрь 2019;124;0,000264;
январь 2020;122;0,000272;
февраль 2020;87;0,000176;
март 2020;19;0,000030;
апрель 2020;68;0,000128;
май 2020;175;0,000387;
июнь 2020;56;0,000140;
июль 2020;100;0,000254;
август 2020;254;0,000544;
сентябрь 2020;154;0,000281;
октябрь 2020;176;0,000307;
ноябрь 2020;176;0,000321;
декабрь 2020;190;0,000364;
январь 2021;183;0,000372;
февраль 2021;186;0,000344;
март 2021;224;0,000398;
апрель 2021;288;0,000535;
май 2021;335;0,000640;
июнь 2021;242;0,000524;
июль 2021;299;0,000637;
август 2021;279;0,000524;
сентябрь 2021;229;0,000388;
октябрь 2021;196;0,000331;
ноябрь 2021;177;0,000278;
декабрь 2021;141;0,000230;
январь 2022;170;0,000277;
февраль 2022;427;0,000638;
март 2022;399;0,000622;
апрель 2022;532;0,000878;
май 2022;650;0,001141;
июнь 2022;572;0,001113;
июль 2022;357;0,000687;
август 2022;546;0,000922;
сентябрь 2022;327;0,000500;
октябрь 2022;220;0,000323;
ноябрь 2022;175;0,000254;
декабрь 2022;193;0,000292;
январь 2023;235;0,000383;
февраль 2023;255;0,000377;
март 2023;295;0,000440;
апрель 2023;354;0,000571;
май 2023;374;0,000673;
июнь 2023;416;0,000819;
июль 2023;202;0,000398;
август 2023;166;0,000291;
сентябрь 2023;178;0,000276;
октябрь 2023;214;0,000337;
ноябрь 2023;180;0,000272;
декабрь 2023;197;0,000314;
январь 2024;216;0,000359;
февраль 2024;227;0,000367;
март 2024;209;0,000345;
апрель 2024;270;0,000468;
май 2024;246;0,000494;
июнь 2024;294;0,000629;
июль 2024;231;0,000497;
август 2024;104;0,000199;
сентябрь 2024;101;0,000166;
октябрь 2024;133;0,000215;
ноябрь 2024;107;0,000165;
декабрь 2024;135;0,000219;
