Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;149;0,000276;
январь 2018;121;0,000226;
февраль 2018;106;0,000177;
март 2018;142;0,000260;
апрель 2018;137;0,000257;
май 2018;204;0,000367;
июнь 2018;228;0,000410;
июль 2018;269;0,000457;
август 2018;201;0,000327;
сентябрь 2018;180;0,000258;
октябрь 2018;220;0,000338;
ноябрь 2018;196;0,000299;
декабрь 2018;195;0,000275;
январь 2019;152;0,000221;
февраль 2019;179;0,000235;
март 2019;230;0,000330;
апрель 2019;207;0,000287;
май 2019;252;0,000364;
июнь 2019;278;0,000386;
июль 2019;224;0,000317;
август 2019;283;0,000403;
сентябрь 2019;257;0,000328;
октябрь 2019;196;0,000250;
ноябрь 2019;186;0,000228;
декабрь 2019;204;0,000234;
январь 2020;178;0,000221;
февраль 2020;153;0,000169;
март 2020;70;0,000058;
апрель 2020;125;0,000110;
май 2020;144;0,000146;
июнь 2020;144;0,000152;
июль 2020;124;0,000142;
август 2020;362;0,000423;
сентябрь 2020;232;0,000240;
октябрь 2020;187;0,000184;
ноябрь 2020;206;0,000215;
декабрь 2020;208;0,000216;
январь 2021;303;0,000343;
февраль 2021;242;0,000248;
март 2021;349;0,000324;
апрель 2021;444;0,000340;
май 2021;518;0,000412;
июнь 2021;357;0,000340;
июль 2021;297;0,000274;
август 2021;276;0,000221;
сентябрь 2021;226;0,000165;
октябрь 2021;302;0,000212;
ноябрь 2021;346;0,000245;
декабрь 2021;353;0,000238;
январь 2022;357;0,000244;
февраль 2022;736;0,000471;
март 2022;581;0,000392;
апрель 2022;763;0,000499;
май 2022;732;0,000504;
июнь 2022;727;0,000475;
июль 2022;874;0,000580;
август 2022;1 375;0,000901;
сентябрь 2022;656;0,000409;
октябрь 2022;413;0,000259;
ноябрь 2022;319;0,000206;
декабрь 2022;362;0,000229;
январь 2023;345;0,000238;
февраль 2023;416;0,000263;
март 2023;417;0,000283;
апрель 2023;481;0,000323;
май 2023;519;0,000360;
июнь 2023;626;0,000412;
июль 2023;446;0,000297;
август 2023;307;0,000211;
сентябрь 2023;332;0,000215;
октябрь 2023;375;0,000252;
ноябрь 2023;278;0,000185;
декабрь 2023;356;0,000229;
январь 2024;311;0,000214;
февраль 2024;330;0,000222;
март 2024;489;0,000340;
апрель 2024;461;0,000321;
май 2024;365;0,000263;
июнь 2024;405;0,000279;
июль 2024;354;0,000248;
август 2024;241;0,000175;
сентябрь 2024;308;0,000207;
октябрь 2024;281;0,000184;
ноябрь 2024;232;0,000146;
декабрь 2024;292;0,000179;
