Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;16;0,0000719;
январь 2018;2;0,0000092;
февраль 2018;21;0,0000854;
март 2018;16;0,0000728;
апрель 2018;21;0,0000978;
май 2018;13;0,0000617;
июнь 2018;22;0,0001059;
июль 2018;14;0,0000664;
август 2018;9;0,0000379;
сентябрь 2018;7;0,0000257;
октябрь 2018;23;0,0000933;
ноябрь 2018;11;0,0000446;
декабрь 2018;13;0,0000502;
январь 2019;13;0,0000532;
февраль 2019;8;0,0000311;
март 2019;20;0,0000849;
апрель 2019;10;0,0000427;
май 2019;5;0,0000243;
июнь 2019;24;0,0001113;
июль 2019;24;0,0001132;
август 2019;34;0,0001520;
сентябрь 2019;18;0,0000706;
октябрь 2019;17;0,0000658;
ноябрь 2019;30;0,0001120;
декабрь 2019;19;0,0000686;
январь 2020;8;0,0000304;
февраль 2020;26;0,0000875;
март 2020;5;0,0000136;
апрель 2020;10;0,0000298;
май 2020;5;0,0000187;
июнь 2020;24;0,0000932;
июль 2020;46;0,0001839;
август 2020;34;0,0001256;
сентябрь 2020;21;0,0000683;
октябрь 2020;37;0,0001140;
ноябрь 2020;25;0,0000794;
декабрь 2020;21;0,0000680;
январь 2021;52;0,0001796;
февраль 2021;48;0,0001522;
март 2021;21;0,0000629;
апрель 2021;26;0,0000729;
май 2021;33;0,0001027;
июнь 2021;15;0,0000535;
июль 2021;23;0,0000776;
август 2021;26;0,0000760;
сентябрь 2021;14;0,0000363;
октябрь 2021;14;0,0000357;
ноябрь 2021;17;0,0000429;
декабрь 2021;13;0,0000319;
январь 2022;7;0,0000177;
февраль 2022;35;0,0000833;
март 2022;42;0,0001039;
апрель 2022;50;0,0001269;
май 2022;33;0,0000921;
июнь 2022;42;0,0001164;
июль 2022;35;0,0000969;
август 2022;96;0,0002473;
сентябрь 2022;51;0,0001216;
октябрь 2022;40;0,0000946;
ноябрь 2022;26;0,0000622;
декабрь 2022;42;0,0000988;
январь 2023;20;0,0000517;
февраль 2023;43;0,0001015;
март 2023;23;0,0000589;
апрель 2023;49;0,0001279;
май 2023;33;0,0000936;
июнь 2023;48;0,0001344;
июль 2023;24;0,0000668;
август 2023;17;0,0000476;
сентябрь 2023;25;0,0000624;
октябрь 2023;26;0,0000654;
ноябрь 2023;26;0,0000656;
декабрь 2023;17;0,0000414;
январь 2024;23;0,0000601;
февраль 2024;26;0,0000678;
март 2024;21;0,0000561;
апрель 2024;16;0,0000449;
май 2024;28;0,0000868;
июнь 2024;54;0,0001610;
июль 2024;23;0,0000703;
август 2024;9;0,0000269;
сентябрь 2024;16;0,0000424;
октябрь 2024;12;0,0000304;
ноябрь 2024;11;0,0000275;
декабрь 2024;17;0,0000424;
