Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Алтай, все устройства
декабрь 2017;17;0,000293;
январь 2018;13;0,000236;
февраль 2018;24;0,000402;
март 2018;16;0,000273;
апрель 2018;39;0,000632;
май 2018;38;0,000710;
июнь 2018;31;0,000549;
июль 2018;33;0,000605;
август 2018;16;0,000275;
сентябрь 2018;11;0,000156;
октябрь 2018;24;0,000361;
ноябрь 2018;13;0,000194;
декабрь 2018;14;0,000217;
январь 2019;13;0,000197;
февраль 2019;23;0,000339;
март 2019;16;0,000238;
апрель 2019;34;0,000533;
май 2019;29;0,000515;
июнь 2019;24;0,000426;
июль 2019;36;0,000649;
август 2019;27;0,000459;
сентябрь 2019;32;0,000458;
октябрь 2019;12;0,000163;
ноябрь 2019;9;0,000111;
декабрь 2019;22;0,000264;
январь 2020;14;0,000177;
февраль 2020;14;0,000159;
март 2020;7;0,000061;
апрель 2020;9;0,000100;
май 2020;20;0,000236;
июнь 2020;17;0,000212;
июль 2020;18;0,000232;
август 2020;63;0,000717;
сентябрь 2020;36;0,000342;
октябрь 2020;22;0,000190;
ноябрь 2020;29;0,000271;
декабрь 2020;24;0,000251;
январь 2021;31;0,000346;
февраль 2021;32;0,000329;
март 2021;51;0,000516;
апрель 2021;74;0,000751;
май 2021;41;0,000424;
июнь 2021;35;0,000392;
июль 2021;33;0,000374;
август 2021;36;0,000369;
сентябрь 2021;53;0,000466;
октябрь 2021;30;0,000258;
ноябрь 2021;25;0,000205;
декабрь 2021;42;0,000349;
январь 2022;36;0,000296;
февраль 2022;42;0,000328;
март 2022;72;0,000599;
апрель 2022;74;0,000636;
май 2022;128;0,001152;
июнь 2022;112;0,000999;
июль 2022;74;0,000389;
август 2022;127;0,000980;
сентябрь 2022;83;0,000654;
октябрь 2022;103;0,000756;
ноябрь 2022;73;0,000540;
декабрь 2022;46;0,000347;
январь 2023;31;0,000251;
февраль 2023;59;0,000436;
март 2023;62;0,000469;
апрель 2023;83;0,000657;
май 2023;71;0,000632;
июнь 2023;78;0,000665;
июль 2023;78;0,000659;
август 2023;48;0,000408;
сентябрь 2023;105;0,000824;
октябрь 2023;44;0,000345;
ноябрь 2023;92;0,000692;
декабрь 2023;57;0,000438;
январь 2024;49;0,000396;
февраль 2024;74;0,000596;
март 2024;62;0,000522;
апрель 2024;77;0,000662;
май 2024;117;0,001137;
июнь 2024;95;0,000877;
июль 2024;49;0,000459;
август 2024;70;0,000655;
сентябрь 2024;48;0,000397;
октябрь 2024;33;0,000263;
ноябрь 2024;24;0,000181;
декабрь 2024;18;0,000141;
