Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;46;0,0001570;
январь 2018;20;0,0000733;
февраль 2018;26;0,0000857;
март 2018;17;0,0000599;
апрель 2018;45;0,0001605;
май 2018;48;0,0001879;
июнь 2018;67;0,0002723;
июль 2018;34;0,0001326;
август 2018;13;0,0000461;
сентябрь 2018;21;0,0000642;
октябрь 2018;14;0,0000464;
ноябрь 2018;12;0,0000387;
декабрь 2018;20;0,0000629;
январь 2019;15;0,0000485;
февраль 2019;27;0,0000853;
март 2019;18;0,0000596;
апрель 2019;22;0,0000790;
май 2019;27;0,0001047;
июнь 2019;29;0,0001150;
июль 2019;28;0,0001094;
август 2019;14;0,0000521;
сентябрь 2019;25;0,0000810;
октябрь 2019;13;0,0000413;
ноябрь 2019;16;0,0000484;
декабрь 2019;25;0,0000728;
январь 2020;31;0,0000915;
февраль 2020;9;0,0000244;
март 2020;4;0,0000085;
апрель 2020;11;0,0000276;
май 2020;15;0,0000454;
июнь 2020;9;0,0000299;
июль 2020;28;0,0000927;
август 2020;63;0,0001887;
сентябрь 2020;47;0,0001210;
октябрь 2020;34;0,0000679;
ноябрь 2020;24;0,0000557;
декабрь 2020;39;0,0000993;
январь 2021;21;0,0000575;
февраль 2021;41;0,0001092;
март 2021;91;0,0002358;
апрель 2021;77;0,0002031;
май 2021;88;0,0002373;
июнь 2021;94;0,0002699;
июль 2021;82;0,0002013;
август 2021;97;0,0002382;
сентябрь 2021;51;0,0001177;
октябрь 2021;49;0,0000987;
ноябрь 2021;62;0,0001323;
декабрь 2021;38;0,0000824;
январь 2022;35;0,0000713;
февраль 2022;154;0,0003133;
март 2022;51;0,0001129;
апрель 2022;68;0,0001523;
май 2022;78;0,0001902;
июнь 2022;73;0,0001852;
июль 2022;76;0,0001931;
август 2022;84;0,0001966;
сентябрь 2022;36;0,0000778;
октябрь 2022;37;0,0000771;
ноябрь 2022;27;0,0000548;
декабрь 2022;40;0,0000824;
январь 2023;35;0,0000779;
февраль 2023;38;0,0000779;
март 2023;53;0,0001170;
апрель 2023;78;0,0001822;
май 2023;93;0,0002327;
июнь 2023;77;0,0001984;
июль 2023;76;0,0001941;
август 2023;40;0,0000972;
сентябрь 2023;25;0,0000547;
октябрь 2023;42;0,0000920;
ноябрь 2023;23;0,0000474;
декабрь 2023;54;0,0001151;
январь 2024;53;0,0001197;
февраль 2024;32;0,0000714;
март 2024;34;0,0000771;
апрель 2024;56;0,0001358;
май 2024;48;0,0001368;
июнь 2024;38;0,0001089;
июль 2024;19;0,0000544;
август 2024;20;0,0000552;
сентябрь 2024;30;0,0000713;
октябрь 2024;34;0,0000787;
ноябрь 2024;24;0,0000534;
декабрь 2024;16;0,0000358;
