Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Липецкая область, все устройства
декабрь 2017;125;0,000242;
январь 2018;110;0,000214;
февраль 2018;127;0,000226;
март 2018;137;0,000282;
апрель 2018;108;0,000230;
май 2018;130;0,000291;
июнь 2018;120;0,000261;
июль 2018;82;0,000183;
август 2018;109;0,000212;
сентябрь 2018;110;0,000185;
октябрь 2018;66;0,000124;
ноябрь 2018;87;0,000163;
декабрь 2018;140;0,000251;
январь 2019;129;0,000242;
февраль 2019;150;0,000265;
март 2019;103;0,000202;
апрель 2019;104;0,000213;
май 2019;119;0,000266;
июнь 2019;121;0,000258;
июль 2019;102;0,000220;
август 2019;88;0,000182;
сентябрь 2019;143;0,000259;
октябрь 2019;99;0,000178;
ноябрь 2019;95;0,000162;
декабрь 2019;88;0,000145;
январь 2020;146;0,000250;
февраль 2020;72;0,000110;
март 2020;29;0,000036;
апрель 2020;48;0,000065;
май 2020;58;0,000099;
июнь 2020;45;0,000082;
июль 2020;68;0,000126;
август 2020;108;0,000184;
сентябрь 2020;94;0,000139;
октябрь 2020;94;0,000131;
ноябрь 2020;84;0,000122;
декабрь 2020;132;0,000194;
январь 2021;142;0,000216;
февраль 2021;174;0,000239;
март 2021;165;0,000230;
апрель 2021;284;0,000402;
май 2021;274;0,000405;
июнь 2021;239;0,000372;
июль 2021;136;0,000206;
август 2021;177;0,000249;
сентябрь 2021;162;0,000210;
октябрь 2021;173;0,000215;
ноябрь 2021;185;0,000225;
декабрь 2021;239;0,000292;
январь 2022;205;0,000248;
февраль 2022;272;0,000304;
март 2022;203;0,000248;
апрель 2022;240;0,000297;
май 2022;311;0,000431;
июнь 2022;263;0,000360;
июль 2022;195;0,000265;
август 2022;371;0,000462;
сентябрь 2022;181;0,000210;
октябрь 2022;130;0,000151;
ноябрь 2022;108;0,000121;
декабрь 2022;179;0,000204;
январь 2023;171;0,000212;
февраль 2023;186;0,000211;
март 2023;230;0,000287;
апрель 2023;248;0,000316;
май 2023;228;0,000311;
июнь 2023;208;0,000282;
июль 2023;178;0,000248;
август 2023;115;0,000155;
сентябрь 2023;116;0,000138;
октябрь 2023;106;0,000127;
ноябрь 2023;117;0,000139;
декабрь 2023;160;0,000187;
январь 2024;149;0,000187;
февраль 2024;126;0,000154;
март 2024;148;0,000193;
апрель 2024;125;0,000170;
май 2024;165;0,000252;
июнь 2024;220;0,000334;
июль 2024;97;0,000146;
август 2024;98;0,000145;
сентябрь 2024;104;0,000135;
октябрь 2024;122;0,000153;
ноябрь 2024;107;0,000131;
декабрь 2024;196;0,000238;
