Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;33;0,000126;
январь 2018;14;0,000054;
февраль 2018;16;0,000057;
март 2018;13;0,000051;
апрель 2018;27;0,000110;
май 2018;20;0,000086;
июнь 2018;26;0,000110;
июль 2018;20;0,000084;
август 2018;4;0,000014;
сентябрь 2018;30;0,000097;
октябрь 2018;49;0,000172;
ноябрь 2018;23;0,000083;
декабрь 2018;19;0,000066;
январь 2019;15;0,000055;
февраль 2019;31;0,000107;
март 2019;24;0,000088;
апрель 2019;27;0,000105;
май 2019;19;0,000080;
июнь 2019;21;0,000086;
июль 2019;13;0,000054;
август 2019;16;0,000063;
сентябрь 2019;19;0,000065;
октябрь 2019;8;0,000027;
ноябрь 2019;35;0,000114;
декабрь 2019;7;0,000022;
январь 2020;4;0,000013;
февраль 2020;16;0,000048;
март 2020;9;0,000019;
апрель 2020;6;0,000015;
май 2020;8;0,000026;
июнь 2020;3;0,000010;
июль 2020;7;0,000024;
август 2020;38;0,000122;
сентябрь 2020;10;0,000027;
октябрь 2020;28;0,000075;
ноябрь 2020;10;0,000027;
декабрь 2020;13;0,000036;
январь 2021;10;0,000029;
февраль 2021;16;0,000043;
март 2021;27;0,000071;
апрель 2021;26;0,000069;
май 2021;23;0,000065;
июнь 2021;16;0,000048;
июль 2021;33;0,000095;
август 2021;22;0,000058;
сентябрь 2021;13;0,000031;
октябрь 2021;13;0,000030;
ноябрь 2021;15;0,000034;
декабрь 2021;19;0,000043;
январь 2022;34;0,000080;
февраль 2022;26;0,000055;
март 2022;29;0,000065;
апрель 2022;35;0,000078;
май 2022;52;0,000133;
июнь 2022;54;0,000139;
июль 2022;41;0,000105;
август 2022;124;0,000288;
сентябрь 2022;69;0,000148;
октябрь 2022;30;0,000064;
ноябрь 2022;25;0,000054;
декабрь 2022;16;0,000034;
январь 2023;12;0,000028;
февраль 2023;42;0,000090;
март 2023;22;0,000051;
апрель 2023;45;0,000106;
май 2023;40;0,000104;
июнь 2023;37;0,000095;
июль 2023;27;0,000072;
август 2023;12;0,000030;
сентябрь 2023;34;0,000076;
октябрь 2023;29;0,000066;
ноябрь 2023;31;0,000070;
декабрь 2023;38;0,000084;
январь 2024;27;0,000065;
февраль 2024;20;0,000047;
март 2024;16;0,000039;
апрель 2024;22;0,000056;
май 2024;31;0,000089;
июнь 2024;34;0,000097;
июль 2024;17;0,000048;
август 2024;13;0,000035;
сентябрь 2024;25;0,000060;
октябрь 2024;19;0,000044;
ноябрь 2024;14;0,000032;
декабрь 2024;11;0,000025;
