Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;196;0,000126;
январь 2018;131;0,000078;
февраль 2018;168;0,000083;
март 2018;185;0,000098;
апрель 2018;203;0,000113;
май 2018;295;0,000175;
июнь 2018;326;0,000185;
июль 2018;283;0,000162;
август 2018;176;0,000087;
сентябрь 2018;136;0,000059;
октябрь 2018;588;0,000275;
ноябрь 2018;154;0,000071;
декабрь 2018;191;0,000087;
январь 2019;143;0,000066;
февраль 2019;181;0,000081;
март 2019;143;0,000068;
апрель 2019;205;0,000101;
май 2019;286;0,000156;
июнь 2019;245;0,000132;
июль 2019;189;0,000099;
август 2019;154;0,000076;
сентябрь 2019;201;0,000093;
октябрь 2019;155;0,000073;
ноябрь 2019;257;0,000121;
декабрь 2019;220;0,000104;
январь 2020;150;0,000073;
февраль 2020;191;0,000083;
март 2020;56;0,000019;
апрель 2020;164;0,000066;
май 2020;231;0,000124;
июнь 2020;101;0,000063;
июль 2020;160;0,000097;
август 2020;587;0,000324;
сентябрь 2020;497;0,000244;
октябрь 2020;241;0,000108;
ноябрь 2020;241;0,000107;
декабрь 2020;270;0,000134;
январь 2021;309;0,000162;
февраль 2021;696;0,000326;
март 2021;778;0,000373;
апрель 2021;735;0,000374;
май 2021;695;0,000353;
июнь 2021;668;0,000349;
июль 2021;834;0,000426;
август 2021;664;0,000317;
сентябрь 2021;631;0,000270;
октябрь 2021;521;0,000219;
ноябрь 2021;474;0,000202;
декабрь 2021;570;0,000246;
январь 2022;528;0,000227;
февраль 2022;1 123;0,000439;
март 2022;730;0,000311;
апрель 2022;907;0,000389;
май 2022;890;0,000428;
июнь 2022;927;0,000459;
июль 2022;559;0,000274;
август 2022;1 154;0,000507;
сентябрь 2022;712;0,000291;
октябрь 2022;427;0,000171;
ноябрь 2022;445;0,000176;
декабрь 2022;426;0,000172;
январь 2023;359;0,000158;
февраль 2023;504;0,000205;
март 2023;445;0,000194;
апрель 2023;499;0,000221;
май 2023;607;0,000295;
июнь 2023;668;0,000331;
июль 2023;483;0,000241;
август 2023;396;0,000185;
сентябрь 2023;386;0,000161;
октябрь 2023;359;0,000152;
ноябрь 2023;383;0,000160;
декабрь 2023;399;0,000167;
январь 2024;416;0,000185;
февраль 2024;363;0,000156;
март 2024;458;0,000214;
апрель 2024;454;0,000215;
май 2024;484;0,000262;
июнь 2024;518;0,000283;
июль 2024;402;0,000217;
август 2024;380;0,000197;
сентябрь 2024;311;0,000139;
октябрь 2024;237;0,000101;
ноябрь 2024;228;0,000094;
декабрь 2024;277;0,000115;
