Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;164;0,0000131;
январь 2018;178;0,0000135;
февраль 2018;123;0,0000086;
март 2018;162;0,0000127;
апрель 2018;248;0,0000195;
май 2018;104;0,0000089;
июнь 2018;120;0,0000100;
июль 2018;100;0,0000084;
август 2018;151;0,0000109;
сентябрь 2018;154;0,0000097;
октябрь 2018;171;0,0000115;
ноябрь 2018;177;0,0000119;
декабрь 2018;220;0,0000146;
январь 2019;213;0,0000152;
февраль 2019;153;0,0000107;
март 2019;170;0,0000125;
апрель 2019;205;0,0000160;
май 2019;106;0,0000088;
июнь 2019;123;0,0000097;
июль 2019;168;0,0000143;
август 2019;143;0,0000107;
сентябрь 2019;144;0,0000096;
октябрь 2019;154;0,0000107;
ноябрь 2019;207;0,0000139;
декабрь 2019;186;0,0000123;
январь 2020;155;0,0000104;
февраль 2020;155;0,0000098;
март 2020;135;0,0000079;
апрель 2020;126;0,0000079;
май 2020;145;0,0000103;
июнь 2020;106;0,0000077;
июль 2020;126;0,0000093;
август 2020;172;0,0000110;
сентябрь 2020;152;0,0000088;
октябрь 2020;139;0,0000075;
ноябрь 2020;174;0,0000098;
декабрь 2020;116;0,0000072;
январь 2021;161;0,0000102;
февраль 2021;172;0,0000099;
март 2021;138;0,0000081;
апрель 2021;140;0,0000091;
май 2021;99;0,0000066;
июнь 2021;95;0,0000058;
июль 2021;116;0,0000068;
август 2021;120;0,0000070;
сентябрь 2021;116;0,0000067;
октябрь 2021;138;0,0000083;
ноябрь 2021;141;0,0000083;
декабрь 2021;186;0,0000107;
январь 2022;139;0,0000079;
февраль 2022;137;0,0000075;
март 2022;160;0,0000095;
апрель 2022;163;0,0000091;
май 2022;160;0,0000104;
июнь 2022;121;0,0000084;
июль 2022;133;0,0000085;
август 2022;109;0,0000063;
сентябрь 2022;137;0,0000082;
октябрь 2022;109;0,0000064;
ноябрь 2022;104;0,0000063;
декабрь 2022;94;0,0000061;
январь 2023;124;0,0000085;
февраль 2023;101;0,0000062;
март 2023;89;0,0000061;
апрель 2023;110;0,0000077;
май 2023;98;0,0000075;
июнь 2023;75;0,0000061;
июль 2023;67;0,0000054;
август 2023;76;0,0000055;
сентябрь 2023;60;0,0000038;
октябрь 2023;79;0,0000052;
ноябрь 2023;105;0,0000069;
декабрь 2023;80;0,0000050;
январь 2024;84;0,0000059;
февраль 2024;61;0,0000040;
март 2024;74;0,0000053;
апрель 2024;95;0,0000068;
май 2024;89;0,0000075;
июнь 2024;103;0,0000092;
июль 2024;82;0,0000072;
август 2024;61;0,0000049;
сентябрь 2024;71;0,0000050;
октябрь 2024;112;0,0000074;
ноябрь 2024;72;0,0000047;
декабрь 2024;95;0,0000064;
