Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;16;0,00001669;
январь 2018;14;0,00001488;
февраль 2018;7;0,00000707;
март 2018;5;0,00000547;
апрель 2018;13;0,00001413;
май 2018;2;0,00000250;
июнь 2018;6;0,00000739;
июль 2018;0;0;
август 2018;1;0,00000105;
сентябрь 2018;2;0,00000180;
октябрь 2018;9;0,00000880;
ноябрь 2018;3;0,00000290;
декабрь 2018;0;0;
январь 2019;3;0,00000289;
февраль 2019;1;0,00000093;
март 2019;4;0,00000385;
апрель 2019;2;0,00000206;
май 2019;10;0,00001159;
июнь 2019;6;0,00000718;
июль 2019;2;0,00000237;
август 2019;4;0,00000419;
сентябрь 2019;9;0,00000823;
октябрь 2019;3;0,00000272;
ноябрь 2019;3;0,00000258;
декабрь 2019;3;0,00000254;
январь 2020;0;0;
февраль 2020;8;0,00000646;
март 2020;3;0,00000189;
апрель 2020;7;0,00000505;
май 2020;3;0,00000264;
июнь 2020;4;0,00000388;
июль 2020;3;0,00000283;
август 2020;3;0,00000245;
сентябрь 2020;2;0,00000142;
октябрь 2020;1;0,00000063;
ноябрь 2020;0;0;
декабрь 2020;4;0,00000288;
январь 2021;5;0,00000380;
февраль 2021;5;0,00000351;
март 2021;7;0,00000488;
апрель 2021;9;0,00000658;
май 2021;2;0,00000160;
июнь 2021;0;0;
июль 2021;1;0,00000080;
август 2021;3;0,00000224;
сентябрь 2021;2;0,00000136;
октябрь 2021;1;0,00000066;
ноябрь 2021;3;0,00000187;
декабрь 2021;4;0,00000258;
январь 2022;2;0,00000129;
февраль 2022;6;0,00000363;
март 2022;14;0,00000880;
апрель 2022;2;0,00000133;
май 2022;0;0;
июнь 2022;2;0,00000151;
июль 2022;2;0,00000149;
август 2022;0;0;
сентябрь 2022;4;0,00000244;
октябрь 2022;0;0;
ноябрь 2022;2;0,00000117;
декабрь 2022;4;0,00000237;
январь 2023;1;0,00000064;
февраль 2023;3;0,00000177;
март 2023;6;0,00000365;
апрель 2023;0;0;
май 2023;6;0,00000447;
июнь 2023;3;0,00000234;
июль 2023;0;0;
август 2023;1;0,00000069;
сентябрь 2023;1;0,00000062;
октябрь 2023;3;0,00000189;
ноябрь 2023;3;0,00000181;
декабрь 2023;2;0,00000124;
январь 2024;17;0,00001105;
февраль 2024;4;0,00000259;
март 2024;2;0,00000133;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;1;0,00000084;
июль 2024;5;0,00000420;
август 2024;5;0,00000376;
сентябрь 2024;3;0,00000197;
октябрь 2024;1;0,00000063;
ноябрь 2024;0;0;
декабрь 2024;2;0,00000125;
