Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;10;0,00000215;
январь 2018;18;0,00000374;
февраль 2018;5;0,00000097;
март 2018;2;0,00000042;
апрель 2018;14;0,00000307;
май 2018;5;0,00000115;
июнь 2018;3;0,00000070;
июль 2018;11;0,00000253;
август 2018;18;0,00000366;
сентябрь 2018;8;0,00000140;
октябрь 2018;11;0,00000212;
ноябрь 2018;7;0,00000135;
декабрь 2018;13;0,00000253;
январь 2019;10;0,00000198;
февраль 2019;16;0,00000298;
март 2019;26;0,00000516;
апрель 2019;5;0,00000102;
май 2019;6;0,00000137;
июнь 2019;11;0,00000249;
июль 2019;12;0,00000274;
август 2019;13;0,00000270;
сентябрь 2019;14;0,00000254;
октябрь 2019;10;0,00000183;
ноябрь 2019;9;0,00000162;
декабрь 2019;7;0,00000125;
январь 2020;6;0,00000108;
февраль 2020;12;0,00000209;
март 2020;17;0,00000266;
апрель 2020;9;0,00000153;
май 2020;19;0,00000370;
июнь 2020;15;0,00000298;
июль 2020;16;0,00000316;
август 2020;8;0,00000140;
сентябрь 2020;6;0,00000094;
октябрь 2020;7;0,00000104;
ноябрь 2020;14;0,00000216;
декабрь 2020;15;0,00000241;
январь 2021;13;0,00000219;
февраль 2021;18;0,00000268;
март 2021;4;0,00000061;
апрель 2021;6;0,00000105;
май 2021;6;0,00000107;
июнь 2021;3;0,00000051;
июль 2021;37;0,00000588;
август 2021;16;0,00000259;
сентябрь 2021;9;0,00000147;
октябрь 2021;5;0,00000079;
ноябрь 2021;18;0,00000277;
декабрь 2021;17;0,00000253;
январь 2022;5;0,00000073;
февраль 2022;5;0,00000068;
март 2022;13;0,00000194;
апрель 2022;21;0,00000299;
май 2022;9;0,00000142;
июнь 2022;3;0,00000052;
июль 2022;14;0,00000237;
август 2022;10;0,00000164;
сентябрь 2022;9;0,00000139;
октябрь 2022;13;0,00000189;
ноябрь 2022;4;0,00000062;
декабрь 2022;9;0,00000148;
январь 2023;8;0,00000140;
февраль 2023;17;0,00000265;
март 2023;4;0,00000066;
апрель 2023;5;0,00000085;
май 2023;9;0,00000172;
июнь 2023;2;0,00000040;
июль 2023;5;0,00000100;
август 2023;5;0,00000090;
сентябрь 2023;12;0,00000198;
октябрь 2023;14;0,00000233;
ноябрь 2023;17;0,00000282;
декабрь 2023;10;0,00000167;
январь 2024;16;0,00000279;
февраль 2024;30;0,00000505;
март 2024;15;0,00000262;
апрель 2024;3;0,00000055;
май 2024;18;0,00000375;
июнь 2024;13;0,00000274;
июль 2024;11;0,00000236;
август 2024;10;0,00000196;
сентябрь 2024;16;0,00000275;
октябрь 2024;10;0,00000164;
ноябрь 2024;8;0,00000129;
декабрь 2024;25;0,00000419;
