Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;22;0,00001199;
январь 2018;6;0,00000329;
февраль 2018;2;0,00000098;
март 2018;6;0,00000329;
апрель 2018;9;0,00000483;
май 2018;1;0,00000062;
июнь 2018;21;0,00001307;
июль 2018;9;0,00000550;
август 2018;10;0,00000533;
сентябрь 2018;8;0,00000365;
октябрь 2018;54;0,00002744;
ноябрь 2018;15;0,00000702;
декабрь 2018;18;0,00000787;
январь 2019;26;0,00001240;
февраль 2019;15;0,00000696;
март 2019;15;0,00000724;
апрель 2019;14;0,00000691;
май 2019;14;0,00000763;
июнь 2019;3;0,00000169;
июль 2019;6;0,00000339;
август 2019;2;0,00000105;
сентябрь 2019;13;0,00000626;
октябрь 2019;7;0,00000338;
ноябрь 2019;6;0,00000270;
декабрь 2019;4;0,00000175;
январь 2020;0;0;
февраль 2020;10;0,00000426;
март 2020;10;0,00000363;
апрель 2020;13;0,00000510;
май 2020;7;0,00000345;
июнь 2020;7;0,00000355;
июль 2020;3;0,00000150;
август 2020;8;0,00000354;
сентябрь 2020;4;0,00000158;
октябрь 2020;4;0,00000149;
ноябрь 2020;10;0,00000373;
декабрь 2020;11;0,00000439;
январь 2021;10;0,00000422;
февраль 2021;18;0,00000700;
март 2021;2;0,00000080;
апрель 2021;12;0,00000528;
май 2021;5;0,00000226;
июнь 2021;5;0,00000224;
июль 2021;7;0,00000307;
август 2021;4;0,00000170;
сентябрь 2021;12;0,00000492;
октябрь 2021;11;0,00000456;
ноябрь 2021;8;0,00000321;
декабрь 2021;16;0,00000646;
январь 2022;18;0,00000715;
февраль 2022;22;0,00000826;
март 2022;5;0,00000197;
апрель 2022;26;0,00001045;
май 2022;10;0,00000429;
июнь 2022;2;0,00000089;
июль 2022;9;0,00000387;
август 2022;3;0,00000119;
сентябрь 2022;6;0,00000218;
октябрь 2022;14;0,00000493;
ноябрь 2022;3;0,00000106;
декабрь 2022;8;0,00000292;
январь 2023;20;0,00000776;
февраль 2023;10;0,00000358;
март 2023;5;0,00000192;
апрель 2023;6;0,00000244;
май 2023;7;0,00000319;
июнь 2023;7;0,00000323;
июль 2023;5;0,00000234;
август 2023;10;0,00000428;
сентябрь 2023;9;0,00000348;
октябрь 2023;4;0,00000157;
ноябрь 2023;6;0,00000230;
декабрь 2023;24;0,00000905;
январь 2024;2;0,00000079;
февраль 2024;6;0,00000242;
март 2024;1;0,00000042;
апрель 2024;6;0,00000263;
май 2024;5;0,00000247;
июнь 2024;0;0;
июль 2024;1;0,00000049;
август 2024;1;0,00000045;
сентябрь 2024;1;0,00000038;
октябрь 2024;7;0,00000273;
ноябрь 2024;7;0,00000266;
декабрь 2024;3;0,00000114;
