Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Тыва, все устройства
декабрь 2017;3 608;0,070;
январь 2018;2 536;0,052;
февраль 2018;2 688;0,049;
март 2018;2 501;0,052;
апрель 2018;2 419;0,052;
май 2018;2 151;0,052;
июнь 2018;2 150;0,052;
июль 2018;2 038;0,050;
август 2018;2 359;0,049;
сентябрь 2018;3 262;0,058;
октябрь 2018;3 115;0,055;
ноябрь 2018;2 801;0,049;
декабрь 2018;3 341;0,059;
январь 2019;2 606;0,046;
февраль 2019;2 543;0,043;
март 2019;2 499;0,043;
апрель 2019;2 233;0,040;
май 2019;2 203;0,046;
июнь 2019;2 697;0,058;
июль 2019;2 763;0,059;
август 2019;2 894;0,054;
сентябрь 2019;3 305;0,053;
октябрь 2019;3 206;0,048;
ноябрь 2019;3 466;0,046;
декабрь 2019;4 313;0,058;
январь 2020;3 136;0,045;
февраль 2020;3 218;0,040;
март 2020;3 330;0,030;
апрель 2020;3 110;0,031;
май 2020;3 048;0,036;
июнь 2020;2 734;0,039;
июль 2020;2 778;0,041;
август 2020;3 061;0,038;
сентябрь 2020;3 538;0,037;
октябрь 2020;4 045;0,037;
ноябрь 2020;4 156;0,039;
декабрь 2020;4 525;0,047;
январь 2021;3 616;0,042;
февраль 2021;3 651;0,039;
март 2021;4 894;0,050;
апрель 2021;4 123;0,043;
май 2021;4 474;0,052;
июнь 2021;4 512;0,055;
июль 2021;4 861;0,060;
август 2021;5 351;0,057;
сентябрь 2021;5 363;0,050;
октябрь 2021;5 721;0,049;
ноябрь 2021;5 766;0,046;
декабрь 2021;6 217;0,052;
январь 2022;5 889;0,047;
февраль 2022;6 644;0,052;
март 2022;6 116;0,052;
апрель 2022;5 444;0,048;
май 2022;5 632;0,059;
июнь 2022;5 886;0,065;
июль 2022;5 543;0,062;
август 2022;5 779;0,053;
сентябрь 2022;5 849;0,047;
октябрь 2022;6 184;0,047;
ноябрь 2022;6 164;0,044;
декабрь 2022;6 681;0,051;
январь 2023;5 326;0,046;
февраль 2023;5 862;0,044;
март 2023;6 236;0,048;
апрель 2023;5 572;0,044;
май 2023;6 010;0,060;
июнь 2023;6 119;0,064;
июль 2023;6 421;0,067;
август 2023;7 133;0,062;
сентябрь 2023;6 882;0,053;
октябрь 2023;6 703;0,050;
ноябрь 2023;6 798;0,047;
декабрь 2023;8 465;0,062;
январь 2024;5 920;0,047;
февраль 2024;5 941;0,047;
март 2024;5 450;0,044;
апрель 2024;5 263;0,046;
май 2024;4 784;0,052;
июнь 2024;5 749;0,064;
июль 2024;5 415;0,062;
август 2024;5 878;0,056;
сентябрь 2024;6 719;0,054;
октябрь 2024;6 803;0,051;
ноябрь 2024;7 218;0,050;
декабрь 2024;9 418;0,069;
