Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;6 157;0,047;
январь 2018;5 930;0,046;
февраль 2018;6 082;0,043;
март 2018;6 186;0,047;
апрель 2018;6 031;0,045;
май 2018;5 570;0,045;
июнь 2018;5 595;0,046;
июль 2018;4 929;0,041;
август 2018;4 670;0,035;
сентябрь 2018;6 086;0,039;
октябрь 2018;5 553;0,038;
ноябрь 2018;6 297;0,044;
декабрь 2018;6 253;0,042;
январь 2019;5 978;0,042;
февраль 2019;6 140;0,040;
март 2019;5 791;0,040;
апрель 2019;4 798;0,036;
май 2019;5 096;0,042;
июнь 2019;5 162;0,043;
июль 2019;4 844;0,041;
август 2019;5 635;0,043;
сентябрь 2019;7 040;0,045;
октябрь 2019;5 646;0,036;
ноябрь 2019;6 417;0,038;
декабрь 2019;7 745;0,044;
январь 2020;7 108;0,042;
февраль 2020;7 321;0,038;
март 2020;7 696;0,033;
апрель 2020;7 096;0,033;
май 2020;6 697;0,037;
июнь 2020;6 566;0,041;
июль 2020;6 170;0,038;
август 2020;6 345;0,037;
сентябрь 2020;7 513;0,037;
октябрь 2020;7 471;0,035;
ноябрь 2020;7 723;0,038;
декабрь 2020;8 525;0,042;
январь 2021;8 152;0,043;
февраль 2021;8 108;0,040;
март 2021;9 279;0,043;
апрель 2021;8 227;0,038;
май 2021;8 318;0,043;
июнь 2021;7 680;0,042;
июль 2021;8 985;0,044;
август 2021;9 711;0,045;
сентябрь 2021;9 460;0,041;
октябрь 2021;9 151;0,039;
ноябрь 2021;10 655;0,044;
декабрь 2021;11 240;0,045;
январь 2022;10 476;0,044;
февраль 2022;13 162;0,049;
март 2022;13 194;0,051;
апрель 2022;12 158;0,048;
май 2022;11 935;0,053;
июнь 2022;10 745;0,050;
июль 2022;11 072;0,049;
август 2022;11 031;0,045;
сентябрь 2022;10 848;0,041;
октябрь 2022;12 148;0,042;
ноябрь 2022;12 830;0,047;
декабрь 2022;13 515;0,050;
январь 2023;11 247;0,045;
февраль 2023;11 512;0,042;
март 2023;10 762;0,041;
апрель 2023;10 083;0,040;
май 2023;10 709;0,048;
июнь 2023;10 445;0,048;
июль 2023;10 640;0,048;
август 2023;11 698;0,051;
сентябрь 2023;12 432;0,049;
октябрь 2023;12 316;0,048;
ноябрь 2023;11 854;0,046;
декабрь 2023;12 835;0,049;
январь 2024;11 421;0,047;
февраль 2024;10 914;0,044;
март 2024;10 522;0,044;
апрель 2024;10 425;0,044;
май 2024;8 931;0,044;
июнь 2024;9 685;0,048;
июль 2024;9 463;0,046;
август 2024;10 438;0,049;
сентябрь 2024;12 543;0,052;
октябрь 2024;12 130;0,049;
ноябрь 2024;15 011;0,058;
декабрь 2024;15 830;0,062;
