Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Бурятия, все устройства
декабрь 2017;11 245;0,044;
январь 2018;9 356;0,038;
февраль 2018;9 843;0,037;
март 2018;8 839;0,037;
апрель 2018;8 809;0,036;
май 2018;7 744;0,035;
июнь 2018;7 649;0,034;
июль 2018;7 420;0,034;
август 2018;7 915;0,031;
сентябрь 2018;9 873;0,033;
октябрь 2018;10 193;0,037;
ноябрь 2018;9 184;0,033;
декабрь 2018;10 723;0,039;
январь 2019;9 374;0,034;
февраль 2019;8 918;0,032;
март 2019;8 687;0,032;
апрель 2019;7 633;0,030;
май 2019;7 612;0,033;
июнь 2019;9 253;0,043;
июль 2019;9 055;0,042;
август 2019;9 543;0,040;
сентябрь 2019;11 110;0,040;
октябрь 2019;10 405;0,037;
ноябрь 2019;10 759;0,035;
декабрь 2019;12 318;0,040;
январь 2020;10 698;0,035;
февраль 2020;11 064;0,034;
март 2020;12 435;0,027;
апрель 2020;10 251;0,027;
май 2020;9 598;0,032;
июнь 2020;9 699;0,036;
июль 2020;8 983;0,033;
август 2020;9 841;0,031;
сентябрь 2020;11 562;0,027;
октябрь 2020;12 799;0,030;
ноябрь 2020;12 517;0,032;
декабрь 2020;13 213;0,036;
январь 2021;12 505;0,038;
февраль 2021;12 139;0,034;
март 2021;12 997;0,034;
апрель 2021;13 458;0,034;
май 2021;14 574;0,039;
июнь 2021;13 058;0,041;
июль 2021;12 823;0,041;
август 2021;15 776;0,042;
сентябрь 2021;16 650;0,039;
октябрь 2021;18 612;0,042;
ноябрь 2021;19 894;0,041;
декабрь 2021;19 758;0,042;
январь 2022;18 365;0,038;
февраль 2022;20 201;0,041;
март 2022;20 053;0,043;
апрель 2022;18 693;0,042;
май 2022;17 194;0,043;
июнь 2022;18 193;0,047;
июль 2022;16 804;0,044;
август 2022;18 198;0,041;
сентябрь 2022;19 404;0,040;
октябрь 2022;19 411;0,038;
ноябрь 2022;22 459;0,044;
декабрь 2022;21 616;0,043;
январь 2023;17 731;0,039;
февраль 2023;18 362;0,036;
март 2023;17 507;0,036;
апрель 2023;17 650;0,038;
май 2023;18 383;0,047;
июнь 2023;18 949;0,049;
июль 2023;19 115;0,049;
август 2023;21 349;0,049;
сентябрь 2023;21 281;0,044;
октябрь 2023;23 190;0,048;
ноябрь 2023;20 815;0,041;
декабрь 2023;22 943;0,047;
январь 2024;19 960;0,043;
февраль 2024;17 725;0,038;
март 2024;17 225;0,038;
апрель 2024;16 241;0,039;
май 2024;15 026;0,042;
июнь 2024;17 068;0,048;
июль 2024;16 159;0,045;
август 2024;16 577;0,042;
сентябрь 2024;20 583;0,045;
октябрь 2024;19 167;0,041;
ноябрь 2024;22 544;0,046;
декабрь 2024;24 849;0,052;
