Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Архангельская область, все устройства
декабрь 2017;31 899;0,076;
январь 2018;28 275;0,068;
февраль 2018;27 385;0,061;
март 2018;25 216;0,060;
апрель 2018;22 143;0,055;
май 2018;21 081;0,058;
июнь 2018;20 734;0,061;
июль 2018;22 925;0,064;
август 2018;24 853;0,058;
сентябрь 2018;31 691;0,064;
октябрь 2018;25 268;0,056;
ноябрь 2018;23 311;0,052;
декабрь 2018;29 712;0,064;
январь 2019;25 153;0,058;
февраль 2019;23 994;0,052;
март 2019;21 807;0,048;
апрель 2019;17 709;0,042;
май 2019;17 109;0,046;
июнь 2019;19 756;0,055;
июль 2019;19 462;0,055;
август 2019;21 420;0,054;
сентябрь 2019;26 053;0,056;
октябрь 2019;22 134;0,048;
ноябрь 2019;21 700;0,045;
декабрь 2019;26 216;0,053;
январь 2020;22 227;0,047;
февраль 2020;22 941;0,044;
март 2020;26 656;0,037;
апрель 2020;22 873;0,037;
май 2020;20 112;0,044;
июнь 2020;19 738;0,047;
июль 2020;19 536;0,048;
август 2020;20 926;0,043;
сентябрь 2020;23 387;0,042;
октябрь 2020;24 189;0,041;
ноябрь 2020;23 065;0,040;
декабрь 2020;25 963;0,046;
январь 2021;26 282;0,049;
февраль 2021;24 954;0,044;
март 2021;27 474;0,045;
апрель 2021;25 507;0,041;
май 2021;26 587;0,049;
июнь 2021;20 981;0,046;
июль 2021;22 541;0,048;
август 2021;30 481;0,051;
сентябрь 2021;31 294;0,046;
октябрь 2021;31 472;0,046;
ноябрь 2021;33 735;0,047;
декабрь 2021;36 076;0,051;
январь 2022;31 650;0,045;
февраль 2022;37 580;0,050;
март 2022;38 161;0,052;
апрель 2022;32 912;0,047;
май 2022;29 849;0,050;
июнь 2022;28 573;0,050;
июль 2022;28 005;0,050;
август 2022;32 189;0,048;
сентябрь 2022;30 891;0,042;
октябрь 2022;31 661;0,043;
ноябрь 2022;34 671;0,046;
декабрь 2022;37 031;0,050;
январь 2023;32 800;0,048;
февраль 2023;32 370;0,044;
март 2023;30 442;0,042;
апрель 2023;27 119;0,040;
май 2023;27 764;0,047;
июнь 2023;28 751;0,051;
июль 2023;29 022;0,053;
август 2023;34 365;0,055;
сентябрь 2023;35 580;0,051;
октябрь 2023;34 723;0,049;
ноябрь 2023;32 922;0,046;
декабрь 2023;39 701;0,055;
январь 2024;33 986;0,050;
февраль 2024;30 124;0,043;
март 2024;30 100;0,044;
апрель 2024;27 667;0,043;
май 2024;23 988;0,045;
июнь 2024;26 061;0,051;
июль 2024;26 274;0,052;
август 2024;30 338;0,053;
сентябрь 2024;35 527;0,054;
октябрь 2024;32 245;0,047;
ноябрь 2024;37 790;0,053;
декабрь 2024;42 120;0,061;
