Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;21 920;0,040;
январь 2018;19 851;0,037;
февраль 2018;21 054;0,037;
март 2018;18 455;0,035;
апрель 2018;16 619;0,034;
май 2018;16 129;0,036;
июнь 2018;16 328;0,036;
июль 2018;15 500;0,034;
август 2018;16 281;0,030;
сентябрь 2018;19 418;0,031;
октябрь 2018;16 850;0,030;
ноябрь 2018;16 995;0,031;
декабрь 2018;21 269;0,037;
январь 2019;20 557;0,038;
февраль 2019;18 665;0,032;
март 2019;16 320;0,030;
апрель 2019;14 420;0,029;
май 2019;14 570;0,032;
июнь 2019;17 221;0,037;
июль 2019;16 067;0,035;
август 2019;17 666;0,035;
сентябрь 2019;20 435;0,035;
октябрь 2019;17 961;0,031;
ноябрь 2019;20 440;0,034;
декабрь 2019;23 300;0,038;
январь 2020;20 633;0,035;
февраль 2020;19 339;0,030;
март 2020;24 938;0,029;
апрель 2020;20 695;0,028;
май 2020;18 411;0,032;
июнь 2020;17 593;0,033;
июль 2020;16 759;0,031;
август 2020;18 326;0,030;
сентябрь 2020;19 253;0,028;
октябрь 2020;19 802;0,027;
ноябрь 2020;22 069;0,032;
декабрь 2020;23 468;0,035;
январь 2021;25 487;0,040;
февраль 2021;23 566;0,034;
март 2021;26 007;0,035;
апрель 2021;23 007;0,031;
май 2021;24 723;0,037;
июнь 2021;21 190;0,036;
июль 2021;23 228;0,038;
август 2021;28 896;0,039;
сентябрь 2021;27 514;0,033;
октябрь 2021;28 086;0,034;
ноябрь 2021;32 393;0,038;
декабрь 2021;35 246;0,041;
январь 2022;33 215;0,039;
февраль 2022;36 776;0,040;
март 2022;36 814;0,042;
апрель 2022;32 264;0,038;
май 2022;29 001;0,039;
июнь 2022;28 515;0,039;
июль 2022;27 139;0,037;
август 2022;33 025;0,040;
сентябрь 2022;30 658;0,034;
октябрь 2022;31 095;0,034;
ноябрь 2022;34 729;0,039;
декабрь 2022;39 822;0,045;
январь 2023;35 043;0,042;
февраль 2023;32 801;0,036;
март 2023;29 330;0,035;
апрель 2023;27 197;0,033;
май 2023;28 124;0,038;
июнь 2023;30 861;0,042;
июль 2023;30 493;0,043;
август 2023;33 537;0,043;
сентябрь 2023;36 791;0,042;
октябрь 2023;38 024;0,045;
ноябрь 2023;37 440;0,044;
декабрь 2023;42 755;0,049;
январь 2024;36 197;0,044;
февраль 2024;32 648;0,038;
март 2024;31 871;0,039;
апрель 2024;28 824;0,037;
май 2024;26 909;0,040;
июнь 2024;30 911;0,047;
июль 2024;28 328;0,043;
август 2024;30 809;0,043;
сентябрь 2024;34 739;0,043;
октябрь 2024;35 351;0,042;
ноябрь 2024;42 052;0,049;
декабрь 2024;51 488;0,060;
