Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;10 064;0,045;
январь 2018;8 844;0,040;
февраль 2018;9 466;0,038;
март 2018;8 428;0,038;
апрель 2018;7 843;0,036;
май 2018;7 965;0,037;
июнь 2018;8 000;0,038;
июль 2018;7 496;0,035;
август 2018;7 797;0,032;
сентябрь 2018;9 819;0,036;
октябрь 2018;8 433;0,034;
ноябрь 2018;8 808;0,035;
декабрь 2018;10 262;0,039;
январь 2019;9 456;0,038;
февраль 2019;8 683;0,033;
март 2019;7 872;0,033;
апрель 2019;7 022;0,030;
май 2019;7 207;0,035;
июнь 2019;9 662;0,044;
июль 2019;8 836;0,041;
август 2019;8 670;0,038;
сентябрь 2019;9 957;0,039;
октябрь 2019;8 590;0,033;
ноябрь 2019;9 239;0,034;
декабрь 2019;10 902;0,039;
январь 2020;9 215;0,035;
февраль 2020;9 617;0,032;
март 2020;12 016;0,032;
апрель 2020;9 697;0,028;
май 2020;9 186;0,034;
июнь 2020;9 627;0,037;
июль 2020;8 511;0,034;
август 2020;8 885;0,032;
сентябрь 2020;9 904;0,032;
октябрь 2020;9 660;0,029;
ноябрь 2020;10 110;0,032;
декабрь 2020;11 297;0,036;
январь 2021;11 922;0,041;
февраль 2021;12 192;0,038;
март 2021;12 392;0,037;
апрель 2021;11 696;0,032;
май 2021;12 434;0,038;
июнь 2021;10 157;0,036;
июль 2021;11 216;0,037;
август 2021;14 574;0,042;
сентябрь 2021;14 228;0,036;
октябрь 2021;14 968;0,038;
ноябрь 2021;16 392;0,041;
декабрь 2021;18 425;0,045;
январь 2022;16 141;0,040;
февраль 2022;18 478;0,043;
март 2022;16 876;0,041;
апрель 2022;15 904;0,040;
май 2022;14 876;0,041;
июнь 2022;14 905;0,041;
июль 2022;14 032;0,038;
август 2022;15 967;0,041;
сентябрь 2022;15 715;0,037;
октябрь 2022;15 768;0,037;
ноябрь 2022;17 356;0,041;
декабрь 2022;20 267;0,047;
январь 2023;16 296;0,042;
февраль 2023;15 833;0,037;
март 2023;14 577;0,037;
апрель 2023;13 609;0,035;
май 2023;15 150;0,042;
июнь 2023;16 152;0,045;
июль 2023;15 440;0,042;
август 2023;17 812;0,049;
сентябрь 2023;17 536;0,043;
октябрь 2023;17 021;0,042;
ноябрь 2023;16 655;0,042;
декабрь 2023;18 461;0,044;
январь 2024;17 003;0,044;
февраль 2024;15 020;0,039;
март 2024;15 079;0,040;
апрель 2024;13 556;0,038;
май 2024;13 179;0,040;
июнь 2024;15 232;0,045;
июль 2024;14 190;0,043;
август 2024;16 595;0,049;
сентябрь 2024;18 540;0,049;
октябрь 2024;17 107;0,043;
ноябрь 2024;20 212;0,050;
декабрь 2024;24 685;0,061;
