Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;165 703;0,038;
январь 2018;152 656;0,035;
февраль 2018;176 515;0,036;
март 2018;151 223;0,035;
апрель 2018;138 420;0,033;
май 2018;144 458;0,036;
июнь 2018;156 531;0,038;
июль 2018;149 189;0,036;
август 2018;153 001;0,032;
сентябрь 2018;181 505;0,033;
октябрь 2018;159 657;0,031;
ноябрь 2018;161 509;0,032;
декабрь 2018;187 787;0,035;
январь 2019;187 148;0,036;
февраль 2019;181 831;0,032;
март 2019;160 762;0,032;
апрель 2019;141 445;0,029;
май 2019;150 347;0,033;
июнь 2019;169 884;0,036;
июль 2019;161 855;0,035;
август 2019;163 930;0,033;
сентябрь 2019;193 767;0,035;
октябрь 2019;176 072;0,032;
ноябрь 2019;182 745;0,032;
декабрь 2019;215 300;0,037;
январь 2020;199 197;0,035;
февраль 2020;205 503;0,032;
март 2020;256 501;0,032;
апрель 2020;224 023;0,030;
май 2020;196 709;0,033;
июнь 2020;189 330;0,034;
июль 2020;178 234;0,033;
август 2020;181 378;0,031;
сентябрь 2020;200 378;0,030;
октябрь 2020;210 884;0,030;
ноябрь 2020;211 945;0,031;
декабрь 2020;224 323;0,034;
январь 2021;228 261;0,037;
февраль 2021;224 605;0,033;
март 2021;254 597;0,035;
апрель 2021;248 041;0,031;
май 2021;265 227;0,035;
июнь 2021;220 021;0,035;
июль 2021;233 130;0,036;
август 2021;276 313;0,035;
сентябрь 2021;294 369;0,035;
октябрь 2021;299 925;0,034;
ноябрь 2021;329 586;0,037;
декабрь 2021;357 757;0,039;
январь 2022;331 230;0,038;
февраль 2022;371 800;0,038;
март 2022;345 875;0,037;
апрель 2022;315 447;0,034;
май 2022;299 107;0,036;
июнь 2022;301 859;0,036;
июль 2022;290 844;0,035;
август 2022;319 247;0,035;
сентябрь 2022;318 043;0,033;
октябрь 2022;311 172;0,033;
ноябрь 2022;326 863;0,035;
декабрь 2022;363 571;0,039;
январь 2023;311 614;0,037;
февраль 2023;316 204;0,034;
март 2023;281 362;0,033;
апрель 2023;270 618;0,032;
май 2023;287 020;0,037;
июнь 2023;295 100;0,037;
июль 2023;295 353;0,038;
август 2023;310 953;0,039;
сентябрь 2023;333 178;0,038;
октябрь 2023;318 002;0,038;
ноябрь 2023;315 169;0,037;
декабрь 2023;350 535;0,039;
январь 2024;321 791;0,039;
февраль 2024;303 585;0,035;
март 2024;291 087;0,036;
апрель 2024;279 078;0,035;
май 2024;264 981;0,036;
июнь 2024;289 506;0,040;
июль 2024;277 187;0,038;
август 2024;289 474;0,038;
сентябрь 2024;326 529;0,040;
октябрь 2024;325 705;0,038;
ноябрь 2024;368 177;0,042;
декабрь 2024;410 560;0,046;
