Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Алтай, все устройства
декабрь 2017;3 846;0,066;
январь 2018;2 781;0,050;
февраль 2018;2 857;0,047;
март 2018;2 586;0,044;
апрель 2018;2 848;0,046;
май 2018;2 053;0,038;
июнь 2018;2 406;0,042;
июль 2018;2 222;0,040;
август 2018;2 234;0,038;
сентябрь 2018;2 742;0,038;
октябрь 2018;2 542;0,038;
ноябрь 2018;2 565;0,038;
декабрь 2018;2 907;0,045;
январь 2019;2 704;0,041;
февраль 2019;2 654;0,039;
март 2019;2 285;0,034;
апрель 2019;2 233;0,035;
май 2019;2 108;0,037;
июнь 2019;2 295;0,040;
июль 2019;2 251;0,040;
август 2019;2 453;0,041;
сентябрь 2019;3 006;0,043;
октябрь 2019;2 547;0,034;
ноябрь 2019;3 003;0,037;
декабрь 2019;3 688;0,044;
январь 2020;3 036;0,038;
февраль 2020;3 132;0,035;
март 2020;3 034;0,026;
апрель 2020;2 885;0,032;
май 2020;2 837;0,033;
июнь 2020;2 821;0,035;
июль 2020;2 659;0,034;
август 2020;2 807;0,031;
сентябрь 2020;3 479;0,033;
октябрь 2020;3 963;0,034;
ноябрь 2020;3 547;0,033;
декабрь 2020;4 140;0,043;
январь 2021;3 650;0,040;
февраль 2021;3 763;0,038;
март 2021;3 908;0,039;
апрель 2021;3 380;0,034;
май 2021;4 033;0,041;
июнь 2021;3 492;0,039;
июль 2021;3 598;0,040;
август 2021;4 461;0,045;
сентябрь 2021;4 769;0,042;
октябрь 2021;5 082;0,043;
ноябрь 2021;6 159;0,050;
декабрь 2021;5 993;0,049;
январь 2022;5 099;0,042;
февраль 2022;6 144;0,047;
март 2022;6 077;0,050;
апрель 2022;5 295;0,045;
май 2022;4 880;0,043;
июнь 2022;4 807;0,042;
июль 2022;11 208;0,059;
август 2022;7 996;0,061;
сентябрь 2022;4 918;0,038;
октябрь 2022;5 222;0,038;
ноябрь 2022;5 690;0,042;
декабрь 2022;6 721;0,050;
январь 2023;5 184;0,042;
февраль 2023;5 163;0,038;
март 2023;5 018;0,038;
апрель 2023;4 554;0,036;
май 2023;4 899;0,043;
июнь 2023;5 501;0,046;
июль 2023;5 621;0,047;
август 2023;6 306;0,053;
сентябрь 2023;6 507;0,051;
октябрь 2023;5 852;0,046;
ноябрь 2023;5 941;0,044;
декабрь 2023;7 376;0,056;
январь 2024;5 888;0,047;
февраль 2024;5 261;0,042;
март 2024;5 076;0,042;
апрель 2024;4 763;0,040;
май 2024;4 503;0,043;
июнь 2024;5 182;0,047;
июль 2024;4 994;0,046;
август 2024;4 980;0,046;
сентябрь 2024;5 600;0,046;
октябрь 2024;5 697;0,045;
ноябрь 2024;5 793;0,043;
декабрь 2024;7 898;0,062;
