Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;19 689;0,062;
январь 2018;18 133;0,058;
февраль 2018;15 389;0,047;
март 2018;13 912;0,046;
апрель 2018;13 961;0,046;
май 2018;11 782;0,044;
июнь 2018;11 028;0,040;
июль 2018;10 428;0,038;
август 2018;11 898;0,037;
сентябрь 2018;14 526;0,039;
октябрь 2018;13 824;0,039;
ноябрь 2018;13 556;0,039;
декабрь 2018;17 094;0,048;
январь 2019;15 278;0,044;
февраль 2019;13 533;0,037;
март 2019;12 751;0,036;
апрель 2019;11 462;0,035;
май 2019;10 804;0,038;
июнь 2019;13 266;0,047;
июль 2019;13 410;0,046;
август 2019;15 984;0,047;
сентябрь 2019;18 539;0,045;
октябрь 2019;16 065;0,039;
ноябрь 2019;17 576;0,040;
декабрь 2019;20 515;0,048;
январь 2020;17 947;0,041;
февраль 2020;17 402;0,036;
март 2020;17 882;0,030;
апрель 2020;15 867;0,030;
май 2020;13 991;0,035;
июнь 2020;14 986;0,041;
июль 2020;14 206;0,038;
август 2020;15 188;0,034;
сентябрь 2020;17 865;0,032;
октябрь 2020;19 056;0,030;
ноябрь 2020;21 670;0,038;
декабрь 2020;23 246;0,046;
январь 2021;22 095;0,045;
февраль 2021;19 835;0,040;
март 2021;21 831;0,043;
апрель 2021;18 675;0,038;
май 2021;20 248;0,047;
июнь 2021;20 215;0,050;
июль 2021;19 591;0,049;
август 2021;22 907;0,048;
сентябрь 2021;23 840;0,045;
октябрь 2021;24 667;0,041;
ноябрь 2021;31 039;0,055;
декабрь 2021;32 228;0,058;
январь 2022;25 463;0,046;
февраль 2022;29 255;0,050;
март 2022;29 555;0,052;
апрель 2022;26 066;0,048;
май 2022;25 248;0,054;
июнь 2022;25 104;0,056;
июль 2022;23 451;0,052;
август 2022;25 127;0,047;
сентябрь 2022;26 766;0,045;
октябрь 2022;27 975;0,044;
ноябрь 2022;31 435;0,050;
декабрь 2022;32 915;0,053;
январь 2023;28 040;0,049;
февраль 2023;27 942;0,045;
март 2023;24 882;0,041;
апрель 2023;23 542;0,041;
май 2023;28 772;0,060;
июнь 2023;29 598;0,065;
июль 2023;25 444;0,055;
август 2023;29 615;0,057;
сентябрь 2023;30 619;0,052;
октябрь 2023;29 789;0,051;
ноябрь 2023;28 286;0,047;
декабрь 2023;31 973;0,054;
январь 2024;27 815;0,049;
февраль 2024;23 698;0,043;
март 2024;22 972;0,043;
апрель 2024;21 793;0,045;
май 2024;21 052;0,051;
июнь 2024;25 435;0,065;
июль 2024;25 224;0,064;
август 2024;24 613;0,055;
сентябрь 2024;29 643;0,056;
октябрь 2024;28 271;0,051;
ноябрь 2024;31 911;0,054;
декабрь 2024;37 473;0,065;
