Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Тамбовская область, все устройства
декабрь 2017;16 861;0,049;
январь 2018;13 638;0,039;
февраль 2018;14 353;0,038;
март 2018;12 748;0,038;
апрель 2018;12 272;0,038;
май 2018;11 955;0,040;
июнь 2018;11 827;0,038;
июль 2018;11 039;0,037;
август 2018;11 541;0,032;
сентябрь 2018;14 531;0,035;
октябрь 2018;12 160;0,032;
ноябрь 2018;13 162;0,034;
декабрь 2018;16 778;0,041;
январь 2019;15 914;0,040;
февраль 2019;14 125;0,034;
март 2019;12 193;0,033;
апрель 2019;10 181;0,029;
май 2019;11 536;0,036;
июнь 2019;14 338;0,043;
июль 2019;13 037;0,039;
август 2019;14 012;0,039;
сентябрь 2019;16 105;0,040;
октябрь 2019;13 384;0,032;
ноябрь 2019;15 206;0,035;
декабрь 2019;18 417;0,041;
январь 2020;15 934;0,037;
февраль 2020;14 853;0,032;
март 2020;16 705;0,028;
апрель 2020;14 583;0,028;
май 2020;13 838;0,033;
июнь 2020;14 096;0,036;
июль 2020;13 727;0,035;
август 2020;13 983;0,032;
сентябрь 2020;15 312;0,030;
октябрь 2020;16 133;0,029;
ноябрь 2020;16 880;0,032;
декабрь 2020;18 934;0,037;
январь 2021;20 804;0,041;
февраль 2021;20 076;0,036;
март 2021;20 446;0,037;
апрель 2021;18 022;0,033;
май 2021;19 920;0,039;
июнь 2021;18 028;0,038;
июль 2021;18 338;0,037;
август 2021;23 012;0,041;
сентябрь 2021;25 572;0,041;
октябрь 2021;24 691;0,039;
ноябрь 2021;28 463;0,044;
декабрь 2021;29 633;0,046;
январь 2022;24 912;0,039;
февраль 2022;29 153;0,042;
март 2022;27 296;0,042;
апрель 2022;25 951;0,041;
май 2022;23 716;0,043;
июнь 2022;24 656;0,044;
июль 2022;22 853;0,041;
август 2022;25 593;0,040;
сентябрь 2022;25 450;0,037;
октябрь 2022;26 503;0,038;
ноябрь 2022;30 983;0,044;
декабрь 2022;34 006;0,049;
январь 2023;27 729;0,044;
февраль 2023;27 237;0,039;
март 2023;22 671;0,036;
апрель 2023;21 764;0,035;
май 2023;23 656;0,042;
июнь 2023;24 467;0,043;
июль 2023;24 943;0,046;
август 2023;28 834;0,049;
сентябрь 2023;29 412;0,044;
октябрь 2023;28 266;0,043;
ноябрь 2023;28 155;0,043;
декабрь 2023;30 544;0,046;
январь 2024;28 859;0,046;
февраль 2024;26 447;0,042;
март 2024;23 390;0,040;
апрель 2024;22 188;0,039;
май 2024;19 895;0,040;
июнь 2024;23 775;0,047;
июль 2024;23 829;0,047;
август 2024;24 564;0,046;
сентябрь 2024;28 736;0,048;
октябрь 2024;29 770;0,047;
ноябрь 2024;34 141;0,052;
декабрь 2024;41 492;0,064;
